INFO	Title	Rhabdomyosarcoma (RMS) Data Dictionary									
INFO	Name	rms_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The RMS data dictionary is a consensus data schema built by an international group of pediatric rhabdomyosarcoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the International Soft Tissue Sarcoma Consortium (INSTRuCT). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableEnum	PermissibleValue	ValueDescription	ValueEnum	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_LKSS	Integer		Age in Days at Last Known Survival Status		_undefined_	_undefined_	_undefined_			
VD	LKSS	Enum		The individual's last known survival status.		_undefined_	_undefined_	_undefined_			
PD						Alive					
PD						Dead					
PD						Unknown					
VD	CAUSE_OF_DEATH	Enum		The circumstance or condition that results in the death of a living being.		_undefined_	_undefined_	_undefined_			
PD						Disease Progression			Note: If multiple causes of death, include one observation per cause of death.  However, only one cause of death can have the varaiable CAUSE_OF_DEATH_RANKING=Primary.		
PD						Treatment-Related Mortality					
PD						Secondary Malignancy					
PD						Other					
PD						Unknown					
PD						Not Reported					
VD	CAUSE_OF_DEATH_OTHER	Enum		Cause of Death Other		_undefined_	_undefined_	_undefined_			
											
											
DD	Testing										
TD	Molecular Analysis										
TG	One row per subject per molecular analysis method per molecular abnormality										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_MOLECULAR_ANALYSIS	Integer		Age of subject (in days) when molecular analysis was performed.		_undefined_	_undefined_	_undefined_			
VD	MOLECULAR_ABNORMALITY	Enum		A molecular or cytogenic abnormality which occurs in either human disease states or disease models.		_undefined_	_undefined_	_undefined_			
PD						PAX3-FOXO1			Note: If multiple molecular abnormalities, include one observation per molecular abnormality.		
PD						PAX7-FOXO1					
PD						PAX3-Other					
PD						Other-FOXO1					
VD	VARIANT_TYPE	Enum		A variation in or modification of the molecular sequence of a gene or gene product.		_undefined_	_undefined_	_undefined_			
PD						Translocation	Any type of genetic recombination involving exchange of DNA between non-homologous chromosomes, which often occurs as the result of non-homologous end-joining of broken DNA strands. Chromosomal translocation is involved in repairing broken DNA and in maintaining cell viability at the expense of long term genomic stability. This process is is associated with particular types of leukemia, infertility and Down Syndrome.	C25756			
PD						Inversion	A structural change in genomic DNA where the 5' to 3' order of a nucleotide sequence is completely reversed to the 3' to 5' order relative to its adjacent sequences. This inversion is termed either pericentric, if it includes the centromere of a chromosome, or pancentric, if it excludes the centromere. An inversion mutation abnormality may be heritable or occur somatically.	C45589			
PD						Mutation	Any transmissible change in the genetic material of an organism, which can result from radiation, viral infection, transposition, treatment with mutagenic chemicals and errors during DNA replication or meiosis. The effects of mutation range from single base changes to loss or gain of complete chromosomes. As many of the simpler alterations to DNA may be repaired, such changes are only heritable once the change is fixed in the DNA by the process of replication. Mutations may be associated with genetic diversity or with pathologies including cancer.	C45576			
PD						Single Nucleotide Variant	A variation of a single nucleotide at a specific location of the genome due to base substitution, which is found at any frequency in the population.	C146674			
PD						Copy Integer Alteration	Variation in the Integer of copies of a particular sequence within the genetic material of an individual. Large-scale copy Integer polymorphisms are common and widely distributed in the human genome.	C40207			
PD						Rearrangement	Any DNA sequence rearrangement that results in the creation of a novel protein-coding capacity. Within certain genes, gene rearrangement is a normal part of development, facilitating the affinity maturation of B and T lymphocytes as well as class switching of immunoglobulins.	C16611			
PD						Deletion	Any rearrangement to the genomic content that results in the loss of one or more nucleotides of DNA. Deletions are generally irreversible rearrangements. They may alter the reading frame of a gene, or may result in loss of large chromosomal regions.	C19296			
PD						Amplification	Addition of extra material.	C25418			
PD						Other	Different than the one(s) previously specified or mentioned.	C17649			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
VD	CHROMOSOME	String		One of the bodies in the cell nucleus that is the bearer of genes, has the form of a delicate chromatin filament during interphase, contracts to form a compact cylinder segmented into two arms by the centromere during metaphase and anaphase stages of cell division, and is capable of reproducing its physical and chemical structure through successive cell divisions.		_undefined_	_undefined_	_undefined_			
VD	GENE1	String		The gene symbol that represents either a single gene that has a mutation or the gene that comprises the 5' portion of the coding sequence involved in a fusion gene mutation.		_undefined_	_undefined_	_undefined_			
VD	GENE2	String		The gene symbol that represents the gene that comprises the 3' portion of the coding sequence for a fusion gene.		_undefined_	_undefined_	_undefined_			
VD	MOLECULAR_ABNORMALITY_RESULT	Enum		An indicator for whether a molecular analysis procedure was performed and whether the assay detected a molecular abnormality.		_undefined_	_undefined_	_undefined_			
PD						Positive	A finding of abnormality following an examination or observation confirming something, such as the presence of a disease, condition, or microorganism.	C38758			
PD						Negative	A finding of normality following an examination or investigation looking for the presence of a microorganism, disease, or condition.	C38757			
PD						Not Done	Indicates a task, process or examination that has either not been initiated or not been completed.	C49484			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
VD	ANAPLASIA	Enum		Anaplasia		_undefined_	_undefined_	_undefined_			
PD						Absent					
PD						Present					
PD						Unknown					
VD	ANAPLASIA_EXTENT	Enum		Anaplasia Extent		_undefined_	_undefined_	_undefined_			
PD						Diffuse					
PD						Focal					
PD						Unknown					
											
											
DD	Disease Attributes										
TD	Diagnosis										
TG	One row per subject per diagnosis										
VD	HONEST_BROKER_SUBJECT_ID	String	2 - contributors should prioritize inclusion if resources are available	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_DIAG_ASSESSMENT	Integer	2 - contributors should prioritize inclusion if resources are available	The age (in days) of the subject at the time of this diagnostic assessment.	ncit:C175004	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Histology].[AGE_AT_HIST_ASSESSMENT] skos:exactMatch [rms_v2.0].[Histology].[AGE_AT_DIAG_ASSESSMENT]	
VD	DIAGNOSIS_BASIS	Enum	2 - contributors should prioritize inclusion if resources are available	The type of diagnosis used for determining the medical condition.		_undefined_	_undefined_	_undefined_		New VD	
PD						Histological	Pertaining to the combined microscopic physical features of cells and their surrounding extracellular environment in tissues.	ncit:C25526			
VD	DIAGNOSIS	Enum	2 - contributors should prioritize inclusion if resources are available	The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.	ncit:C15220	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Histology].[HISTOLOGY] skos:exactMatch [rms_v2.0].[Histology].[DIAGNOSIS]	
PD						Alveolar rhabdomyosarcoma (ARMS)			Note: If multiple histological findings, include one observation per histological finding.		
PD						Botryoid rhabdomyosarcoma (BRMS)					
PD						Embryonal rhabdomyosarcoma (ERMS)					
PD						Pleomorphic rhabdomyosarcoma (PRMS)					
PD						Rhabdomyosarcoma (RMS), not classifiable					
PD						Rhabdomyosarcoma (RMS), inadequate tissue for classification					
PD						Rhabdomyosarcoma (RMS), with Mixed Embryonal and Alveolar Features					
PD						Spindle cell					
PD						Unknown					
PD						Not Reported					
											
											
DD	Disease Attributes										
TD	Staging										
TG	One row per subject per staging assessment										
VD	HONEST_BROKER_SUBJECT_ID	String	2 - contributors should prioritize inclusion if resources are available	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_STAGING	Integer		Age of subject (in days) at the time of the staging assessment.		_undefined_	_undefined_	_undefined_			
VD	TNM_FINDING	Enum		TNM Finding		_undefined_	_undefined_	_undefined_			
PD						Favorable Site, M0			Note: Tied to AGE_AT_STAGING.		
PD						Other site, any T, a, N0, M0					
PD						Other site, any T, a, N1, M0, any T, b, N0/N1, M0					
PD						Metastases, ML					
PD						Unknown					
PD						Not Reported					
VD	GROUP	Enum		IRS Surgical-Pathologic Grouping System		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Staging].[IRS_GROUP] skos:exactMatch [rms_v2.0].[Staging].[GROUP]	
PD						IRS, Group I			Note: Tied to AGE_AT_STAGING.	[rms_v1.0].[Staging].[IRS_GROUP].[Group I] skos:exactMatch [rms_v2.0].[Staging].[GROUP].[IRS, Group I]	
PD						IRS, Group IIA				[rms_v1.0].[Staging].[IRS_GROUP].[Group IIA] skos:exactMatch [rms_v2.0].[Staging].[GROUP].[IRS, Group IIA]	
PD						IRS, Group IIB				[rms_v1.0].[Staging].[IRS_GROUP].[Group IIB] skos:exactMatch [rms_v2.0].[Staging].[GROUP].[IRS, Group IIB]	
PD						IRS, Group IIC				[rms_v1.0].[Staging].[IRS_GROUP].[Group IIC] skos:exactMatch [rms_v2.0].[Staging].[GROUP].[IRS, Group IIC]	
PD						IRS, Group II NOS				[rms_v1.0].[Staging].[IRS_GROUP].[Group II, NOS] skos:exactMatch [rms_v2.0].[Staging].[GROUP].[IRS, Group II NOS]	
PD						IRS, Group III				[rms_v1.0].[Staging].[IRS_GROUP].[Group III] skos:exactMatch [rms_v2.0].[Staging].[GROUP].[IRS, Group III]	
PD						IRS, Group IV				[rms_v1.0].[Staging].[IRS_GROUP].[Group IV] skos:exactMatch [rms_v2.0].[Staging].[GROUP].[IRS, Group IV]	
PD						Unknown					
PD						Not Reported					
											
											
DD	Disease Attributes										
TD	Disease Site Assessment									[rms_v1.0].[Tumor Assessment] skos:exactMatch [rms_v2.0].[Disease Site Assessment]	
TG	One row per subject per evaluation and per lesion (local, regional or metastatic)										
VD	HONEST_BROKER_SUBJECT_ID	String	2 - contributors should prioritize inclusion if resources are available	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_DISEASE_SITE_ASSESSMENT	Integer	2 - contributors should prioritize inclusion if resources are available	The age (in days) of the subject at the time of this disease site assessment.	ncit:C174997	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Tumor Assessment].[AGE_AT_TUMOR_ASSESSMENT] skos:exactMatch [rms_v2.0].[Disease Site Assessment].[AGE_AT_DISEASE_SITE_ASSESSMENT]	
VD	CLASSIFICATION	Enum	2 - contributors should prioritize inclusion if resources are available	The classification of a tumor based primarily on histopathological characteristics.	ncit:C174459	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Tumor Assessment].[TUMOR_CLASSIFICATION] skos:exactMatch [rms_v2.0].[Disease Site Assessment].[CLASSIFICATION]	
PD						Primary	A tumor at the original site of origin.	ncit:C8509			
PD						Regional	A disease or condition that extends beyond the site and spreads into adjacent tissues and regional lymph nodes.	ncit:C41844			
PD						Metastatic	A term referring to the clinical or pathologic observation of a tumor extension from its original site of growth to another anatomic site.	ncit:C14174			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	SITE	Enum	2 - contributors should prioritize inclusion if resources are available	The anatomical site on which the disease is assessed.	ncit:C166232	_undefined_	_undefined_	_undefined_	Note: If there were multiple primary sites, include one observation per primary site.	[rms_v1.0].[Tumor Assessment].[TUMOR_SITE] skos:exactMatch [rms_v2.0].[Disease Site Assessment].[SITE]	
PD						Abdomen	The cavity located between the lungs and pelvis. It contains the lower esophagus, stomach, pancreas, intestines, liver, gallbladder and spleen.	ncit:C12664			
PD						Anal/Perianal	The lower opening of the digestive tract, lying in the cleft between the buttocks, through which fecal matter is extruded. | The skin area around the anus.	ncit:C43362|ncit:C99148			
PD						Bladder	The distensible sac-like organ that functions as a reservoir of urine, collecting from the kidneys and eliminating via the urethra.	ncit:C12414			
PD						Bladder/Prostate	The distensible sac-like organ that functions as a reservoir of urine, collecting from the kidneys and eliminating via the urethra. | The walnut shaped accessory sex gland of the male reproductive system. It is located in the pelvis just below the bladder, surrounding the prostatic part of the urethra. The prostate gland secretes a fluid which is part of the semen.	ncit:C12414|ncit:C12410			
PD						Bone	The structural organ comprised of specialized connective tissue that forms the skeletal components of the body.	ncit:C12366			
PD						Bone Marrow	The tissue occupying the spaces of bone. It consists of blood vessel sinuses and a network of hematopoietic cells which give rise to the red cells, white cells, and megakaryocytes.	ncit:C12431			
PD						Brain	An organ composed of grey and white matter containing billions of neurons that is the center for intelligence and reasoning. It is protected by the bony cranium.	ncit:C12439			
PD						Cervix	The lower part of the uterus occupying the region between the isthmus of the uterus and the vagina. It is divided into supravaginal and vaginal portions.	ncit:C12311			
PD						Cheek	The fleshy part of the face bounded by the eyes, nose, ear, and jaw line.	ncit:C13070			
PD						Distant Lymph Nodes	A bean-shaped organ surrounded by a connective tissue capsule. It is part of the lymphatic system and is found throughout the body. It is composed predominantly of lymphocytes and its main function is immune protection.	ncit:C12745			
PD						Eyelid	A thin membrane of skin with the purpose of covering and protecting an eye.	ncit:C12713			
PD						Foot	The structure found below the ankle joint required for locomotion.	ncit:C32622			
PD						Forearm	The structure on the upper limb, between the elbow and the wrist.	ncit:C32628			
PD						Hand	The distal portion of the upper extremity. It consists of the carpus, metacarpus, and digits.	ncit:C32712			
PD						Hypopharynx	The lower part of the pharynx that connects to the esophagus.	ncit:C12246			
PD						Infratemporal Fossa/Pterygopalatine	The infratemporal fossa, also known as the pterygopalatine fossa, is a complex anatomical region located in the human skull, specifically on the lateral aspect of the skull base. It is situated deep within the skull, adjacent to the maxillary (upper jaw) and sphenoid bones. This anatomical area is crucial in housing and providing passage for various important structures, including nerves, blood vessels, and muscles.				
PD						Kidney	One of the two bean-shaped organs located on each side of the spine in the retroperitoneum. The right kidney is located below the liver and the left kidney below the diaphragm. The kidneys filter and secrete metabolic products and minerals from the blood, thus maintaining homeostasis. On the superior pole of each kidney there is an adrenal gland. Each kidney and adrenal gland is surrounded by fat.	ncit:C12415			
PD						Knee	A joint connecting the lower part of the femur with the upper part of the tibia. The lower part of the femur and the upper part of the tibia are attached to each other by ligaments. Other structures of the knee joint include the upper part of the fibula, located below and parallel to the tibia, and the patella which moves as the knee bends.	ncit:C32898			
PD						Larynx	The cartilaginous structure of the respiratory tract between the pharynx and the trachea. It contains elastic vocal cords required for sound production.	ncit:C12420			
PD						Leg	The portion of the lower extremity between the knee and the ankle. For clinical purposes this term is also used to refer to the whole inferior limb.	ncit:C32974			
PD						Liver/Biliary Tract	A triangular-shaped organ located under the diaphragm in the right hypochondrium. It is the largest internal organ of the body, weighting up to 2 kg. Metabolism and bile secretion are its main functions. It is composed of cells which have the ability to regenerate. | The system that transports bile from the hepatocytes in the liver to the small intestine. It is comprised of the intrahepatic bile ducts, hepatic ducts, common bile duct, cystic duct, and the gallbladder.	ncit:C12392|ncit:C12678			
PD						Lower Leg	The lower leg is the portion of the lower limb, also known as the leg, that extends from the knee joint down to the ankle joint. It is located between the upper leg (thigh) and the foot and is an essential anatomical structure that facilitates movement, weight-bearing, and locomotion.				
PD						Lung	One of a pair of viscera occupying the pulmonary cavities of the thorax, the organs of respiration in which aeration of the blood takes place. As a rule, the right lung is slightly larger than the left and is divided into three lobes (an upper, a middle, and a lower or basal), while the left has two lobes (an upper and a lower or basal). Each lung is irregularly conical in shape, presenting a blunt upper extremity (the apex), a concave base following the curve of the diaphragm, an outer convex surface (costal surface), an inner or mediastinal surface (mediastinal surface), a thin and sharp anterior border, and a thick and rounded posterior border.	ncit:C12468			
PD						Middle Ear	The part of the ear including the eardrum and ossicles. The middle ear leads to the inner ear.	ncit:C12274			
PD						Nasal Cavity	The proximal portion of the respiratory passages on either side of the nasal septum lying between the floor of the cranium and the roof of the mouth and extending from the face to the pharynx. The nasal cavity is lined with ciliated mucosa, extending from the nares to the pharynx.	ncit:C12424			
PD						Nasopharynx	The part of the pharynx in the back of the throat, at and above the soft palate. The nasopharynx is continuous with the nasal passages.	ncit:C12423			
PD						Neck	The region that connects the head to the rest of the body.	ncit:C13063			
PD						Oral Cavity	The cavity located at the upper end of the alimentary canal, behind the teeth and gums that is bounded on the outside by the lips, above by the hard and soft palates and below by the tongue.	ncit:C12421			
PD						Orbit	The bony cavity of the skull which contains the eye, anterior portion of the optic nerve, ocular muscles and ocular adnexa. Seven bones contribute to the structure of the orbit: the frontal, maxillary, zygomatic, sphenoid, lacrimal, ethmoid, and palatine bones.	ncit:C12347			
PD						Oropharynx	The part of the pharynx between the soft palate and the upper portion of the epiglottis.	ncit:C12762			
PD						Ovary	One of the paired female reproductive glands containing the ova or germ cells; the ovary's stroma is a vascular connective tissue containing numbers of ovarian follicles enclosing the ova.	ncit:C12404			
PD						Paranasal Sinuses	Any one of the air-filled spaces within the ethmoid, frontal, maxillary, or sphenoid bones, which communicate with the nasal cavity.	ncit:C12763			
PD						Parapharyngeal Area	A cone-shaped lateral neck space with its base on the base of the skull and its apex at the hyoid bone.	ncit:C162818			
PD						Paraspinal	Pertaining to muscles and/or tissue adjacent to the spinal column.	ncit:C129461			
PD						Paratesticular	A small anatomical compartment that contains the testicular collecting system, and mesothelial and mesenchymal components that represent extensions of the abdominal cavity and retroperitoneum.	ncit:C162491			
PD						Parathyroid					
PD						Parotid	The largest of the three paired salivary glands, located in front of the ear.	ncit:C12427			
PD						Pelvis	The bony, basin-shaped structure formed by the hipbones and the base of the backbone supporting the lower limbs in humans.	ncit:C12767			
PD						Perineum	The area located between the anus and vulva in females, and anus and scrotum in males.	ncit:C33301			
PD						Pleural Effusion	Increased amounts of fluid within the pleural cavity. Symptoms include shortness of breath, cough, and chest pain. It is usually caused by lung infections, congestive heart failure, pleural and lung tumors, connective tissue disorders, and trauma.	ncit:C3331			
PD						Prostate	The walnut shaped accessory sex gland of the male reproductive system. It is located in the pelvis just below the bladder, surrounding the prostatic part of the urethra. The prostate gland secretes a fluid which is part of the semen.	ncit:C12410			
PD						Retroperitoneum	The back of the abdomen where the kidneys lie and the great blood vessels run.	ncit:C12298			
PD						Scalp	The skin which covers the top of the head and which is usually covered by hair.	ncit:C89807			
PD						Shoulder	The region of the body between the neck and the upper arm.	ncit:C25203			
PD						Soft Tissue	A general term comprising tissue that is not hardened or calcified; including muscle, fat, blood vessels, nerves, tendons, ligaments and fascia.	ncit:C12471			
PD						Thigh	A part of the lower limb, located between hip and knee.	ncit:C33763			
PD						Thorax	The division of the body lying between the neck and the abdomen.	ncit:C12799			
PD						Thyroid	An endocrine gland located at the base of the neck that produces and secretes thyroxine and other hormones. Thyroxine is important for metabolic control.	ncit:C12400			
PD						Trunk	The body excluding the head and neck and limbs.	ncit:C33816			
PD						Upper Arm	The portion of the upper extremity between the shoulder and the elbow. For clinical purposes this term is also used to refer to the whole superior limb.	ncit:C32141			
PD						Uterus	A hollow, thick-walled, muscular organ located within the pelvic cavity of a woman. Within the uterus the fertilized egg implants and the fetus develops during pregnancy.	ncit:C12405			
PD						Vagina	The female genital canal, extending from the uterus to the vulva.	ncit:C12407			
PD						Vulva	The external, visible part of the female genitalia surrounding the urethral and vaginal opening. The vulva includes the clitoris and inner as well as outer labia.	ncit:C12408			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	SITE_OTHER	String	2 - contributors should prioritize inclusion if resources are available	Specify the "Other" SITE.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Tumor Assessment].[TUMOR_SITE_OTHER] skos:exactMatch [rms_v2.0].[Disease Site Assessment].[SITE_OTHER]	
VD	TUMOR_SIZE	Enum	2 - contributors should prioritize inclusion if resources are available	The tumor size of the largest tumor.		_undefined_	_undefined_	_undefined_			
PD						<=5 cm	The size of the tumor is less than or equal to 5 centimeters.				
PD						>5 cm	The size of the tumor is greater than 5 centimeters.				
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	DIAMETER1	Decimal	2 - contributors should prioritize inclusion if resources are available	The longest diameter of the tumor.	ncit:C96684	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Tumor Assessment].[LONGEST_DIAM_DIM1] skos:exactMatch [rms_v2.0].[Disease Site Assessment].[DIAMETER1]	
VD	DIAMETER1_UNIT	Enum	2 - contributors should prioritize inclusion if resources are available	The unit of measure symbol associated with a biospecimen or tissue fragment dimension.		_undefined_	_undefined_	_undefined_		New VD	
PD						cm	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.	ncit:C49668			
VD	DIAMETER2	Decimal	2 - contributors should prioritize inclusion if resources are available	The second longest diameter of the tumor.	ncit:C96684	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Tumor Assessment].[LONGEST_DIAM_DIM2] skos:exactMatch [rms_v2.0].[Disease Site Assessment].[DIAMETER2]	
VD	DIAMETER2_UNIT	Enum	2 - contributors should prioritize inclusion if resources are available	The unit of measure symbol associated with a biospecimen or tissue fragment dimension.		_undefined_	_undefined_	_undefined_		New VD	
PD						cm	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.	ncit:C49668			
VD	DIAMETER3	Decimal	2 - contributors should prioritize inclusion if resources are available	The third longest diameter of the tumor.	ncit:C16809	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Tumor Assessment].[LONGEST_DIAM_DIM3] skos:exactMatch [rms_v2.0].[Disease Site Assessment].[DIAMETER3]	
VD	DIAMETER3_UNIT	Enum	2 - contributors should prioritize inclusion if resources are available	The unit of measure symbol associated with a biospecimen or tissue fragment dimension.		_undefined_	_undefined_	_undefined_		New VD	
PD						cm	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.	ncit:C49668			
VD	INVASIVENESS	Enum	2 - contributors should prioritize inclusion if resources are available	Tumor Invasiveness		_undefined_	_undefined_	_undefined_			
PD						T1 Stage Finding	A clinical and/or pathologic primary tumor TNM finding indicating that the cancer is limited to the site of growth.	ncit:C48720			
PD						T2 Stage Finding	A general term that refers to a TNM finding of primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2 TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to primary tumor that is more than 2.0 cm, but not more than 5.0 cm in greatest dimension; for cutaneous melanoma it refers to primary tumor that is 1.01 to 2 mm in thickness, with or without ulceration; for colorectal cancer it refers to primary tumor with invasion into the muscularis propria; and for bladder cancer it refers to primary tumor with invasion into the muscle layer.	ncit:C48724			
PD						TX Stage Finding	A primary tumor TNM finding indicating that the status of the primary tumor cannot be assessed.	ncit:C48737			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	NODAL_PATHOLOGY	Enum		Pathological Determination of Regional Lymph Node Involvement		_undefined_	_undefined_	_undefined_			
PD						N0 Stage Finding					
PD						N1 Stage FInding					
PD						NX Stage Finding					
PD						Unknown					
PD						Not Reported					
VD	NODAL_CLINICAL	Enum		Clinical Determination of Regional Lymph Node Involvemen		_undefined_	_undefined_	_undefined_			
PD						N0 Stage Finding					
PD						N1 Stage FInding					
PD						NX Stage Finding					
PD						Unknown					
PD						Not Reported					
VD	PARAMENINGEAL_EXTENSION	Enum	2 - contributors should prioritize inclusion if resources are available	Is there evidence of parameningeal extension of the tumor, indicating the spread of a tumor or pathological process beyond the primary site to involve the tissues adjacent to the meninges (the protective coverings of the brain and spinal cord)?		_undefined_	_undefined_	_undefined_			
PD						Yes	The affirmative response to a question.	ncit:C49488			
PD						No	The non-affirmative response to a question.	ncit:C49487			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Treatment										
TD	Radiation Therapy										
TG	One row per subject per radiation therapy administration										
VD	HONEST_BROKER_SUBJECT_ID	String	2 - contributors should prioritize inclusion if resources are available	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_RT_START	Integer		Age of subject (in days) at the start of radiation therapy.		_undefined_	_undefined_	_undefined_			
VD	CLASSIFICATION	Enum		The classification of a tumor based primarily on histopathological characteristics.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Radiation Therapy].[TUMOR_CLASSIFICATION] skos:exactMatch [rms_v2.0].[Radiation Therapy].[CLASSIFICATION]	
PD						Primary	A tumor at the original site of origin.	C8509			
PD						Regional Nodes					
PD						Metastatic	A tumor that has spread from its original (primary) site of growth to another site, close to or distant from the primary site. Metastasis is characteristic of advanced malignancies, but in rare instances can be seen in neoplasms lacking malignant morphology.	C3261			
VD	SITE	Enum		Radiation Therapy Site		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Radiation Therapy].[RT_SITE] skos:exactMatch [rms_v2.0].[Radiation Therapy].[SITE]	
PD						Pelvis					
PD						Neck					
PD						Retroperitoneum					
PD						Perineum					
PD						Ovary					
PD						Paratesticular					
PD						Abdomen					
PD						Kidney					
PD						Shoulder					
PD						Scalp					
PD						Upper Arm					
PD						Forearm					
PD						Hand					
PD						Thigh					
PD						Knee					
PD						Leg					
PD						Lower Leg					
