INFO	Title	Germ Cell Tumors (GCT) Data Dictionary									
INFO	Name	gct_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The GCT data dictionary is a consensus data schema built by an international group of pediatric germ cell tumor experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the Malignant Germ Cell International Consortium (MaGIC). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
PD						Cytology	The light microscopic study of normal and abnormal cells in fine needle aspirates (FNAs), body cavity fluids, and smears.	ncit:C16491			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	RESULT	Enum		The categorical result of the laboratory test.	ncit:C36292	_undefined_	_undefined_	_undefined_		New VD	
PD						Present	A finding of abnormality following an examination or observation confirming something, such as the presence of a disease, condition, or microorganism.	ncit:C25626			
PD						Absent	Not existing in a specified place at a specified time.	ncit:C48190			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	RESULT_TEXT	String		The string/text result of the laboratory test.	ncit:C36292	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Labs].[LAB_RESULT] skos:exactMatch [gct_v2.0].[Laboratory Test].[RESULT_TEXT]	
VD	RESULT_NUMERIC	Decimal		The numeric result of the laboratory test.	ncit:C70952	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Labs].[LAB_RESULT_NUMERIC] skos:exactMatch [gct_v2.0].[Laboratory Test].[RESULT_NUMERIC]	
VD	RESULT_UNIT	Enum		The unit of the numeric result of the laboratory test.	ncit:C173274	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Labs].[LAB_RESULT_UNIT] skos:exactMatch [gct_v2.0].[Laboratory Test].[RESULT_UNIT]	
PD						U/L	An arbitrary unit of substance concentration equal to the concentration at which one liter of mixture contains one unit of a substance.	ncit:C67456			
PD						ng/mL	A unit of mass concentration defined as the concentration of one microgram of a substance per unit volume of the mixture equal to one liter. The concept also refers to the unit of mass density (volumetric mass) defined as the density of a substance which mass equal to one microgram occupies the volume of one liter.	ncit:C67306			
PD						IU/L	Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one international unit per one liter of the system volume.	ncit:C67376			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	SEQ_METHOD	Enum		The number of molecules of a particular type on or in a cell or part of a cell. Usually applied to specific genes or to plasmids within a bacterium.	ncit:C49142	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Labs].[LAB_SEQ_METHOD] skos:exactMatch [gct_v2.0].[Laboratory Test].[SEQ_METHOD]	
PD						Relative	Considered in comparison with something else; dependent on or interconnected with something else; not absolute.	ncit:C45830			
PD						Absolute	Complete and without restriction or qualification; something that does not depend on anything else; not relative.	ncit:C45829			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	THRESHOLD_HIGH	Decimal		The maximum level that must be exceeded for a certain reaction to occur or be manifested.	ncit:C177365	_undefined_	_undefined_	_undefined_			
VD	THRESHOLD_LOW	Decimal		The minimum level that must be attained for a certain reaction to occur or be manifested.	ncit:C177366	_undefined_	_undefined_	_undefined_			
VD	PMID_REF	Decimal		A globally unique identifier for a biomedical article, as assigned by PubMed.	ncit:C127797	_undefined_	_undefined_	_undefined_			
											
											
DD	Testing										
TD	Molecular Analysis										
TG	One row per subject per molecular abnormality										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_MOLECULAR_ANALYSIS	Integer		Age of subject (in days) when molecular analysis was performed.	ncit:168848	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_		New VD	
VD	MOLECULAR_ANALYSIS_METHOD	Enum		A request to enter the specific molecular analysis method used to detect abnormalities in the study.	ncit:C158954	_undefined_	_undefined_	_undefined_			
PD						Karyotyping	The preparation, analysis, and interpretation of a karyotype, the representation of the chromosome set of a cell.	ncit:C16768			
PD						Cytogenetics	The branch of biology that studies the cellular aspects of heredity, especially the chromosomes. Includes the study of disease states caused by numerical and structural chromosome abnormalities.	ncit:C16487			
PD						Unknown	Not known, not observed, not recorded, or refused.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	KARYOTYPE_STATUS	Enum		The status of the subject's karyotype.	ncit:C168871	_undefined_	_undefined_	_undefined_			
PD						Normal Karyotype	The assessment of the karyotype is that it is normal.	ncit:C173277			
PD						Abnormal Karyotype	Any abnormality in the number, length, centromere position, banding pattern or differences between the sex chromosomes that is not representative of a normal set of chromosomes.	ncit:C168875			
PD						Unknown	Not known, not observed, not recorded, or refused.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	ISCN	String		A karyotype finding as classified by the International System for Human Cytogenetic Nomenclature.	ncit:C173278	_undefined_	_undefined_	_undefined_			
VD	NUM_CHROMOSOMES	Integer		The number of chromosomes upon karyotype analysis.	ncit:C177370	_undefined_	_undefined_	_undefined_			
VD	INDEPEN_AB	Integer		The number of independent aberrations found in the karyotype during analysis.	ncit:C173279	_undefined_	_undefined_	_undefined_			
VD	MOLECULAR_ABNORMALITY	Enum		A molecular or cytogenic abnormality which occurs in either human disease states or disease models.	ncit:C3910	_undefined_	_undefined_	_undefined_			
PD						45XO	Gonadal dysgenesis in an individual with 46,XX karyotype and female phenotype.	ncit:C26900	Note: If multiple molecular abnormalities, include one observation per molecular abnormality.		
PD						45XO w/ Y Chromosomal Material	An abnormal sex chromosome karyotype where the individual is missing a second X chromosome and has some chromosomal material from the Y chromosome. The normal autosomal karyotype is present.	ncit:C176781			
PD						46XX	Gonadal dysgenesis in an individual with 46,XX karyotype and female phenotype.	ncit:C120197			
PD						46XY	Gonadal dysgenesis in an individual with 46.XY karyotype.	ncit:C120198			
PD						47XYY	A condition caused by the presence of an extra Y chromosome resulting in 47,XYY karyotype in an individual with male phenotype. The condition is characterized by tall stature, increased risk of learning disabilities, and delayed development of speech and language. Testicular function and size are normal.	ncit:C85237			
PD						47XXY	A sex chromosome disorder caused by the presence of an extra X chromosome in the male karyotype. Affected individuals are infertile and have a small penis and testes. They tend to have tall stature and long legs and may have difficulties with speech and language development. Gynecomastia may be present.	ncit:C34752			
PD						47XXX	A condition caused by the presence of an extra X chromosome resulting in 47,XXX karyotype in an individual with female phenotype. The condition is characterized by tall stature, increased risk of learning disabilities, and delayed development of speech and language.	ncit:C129718			
PD						48XXXY	A rare sex chromosome abnormality in which a male child has 2 extra X chromosomes.	ncit:C89799			
PD						48XXXX	An abnormal sex chromosome karyotype where the individual has four copies of the X chromosome. The normal autosomal karyotype is present.	ncit:C176787			
PD						Unknown	Reported as unknown by the data contributor.	ncit:17998			
PD						Not Reported	Not provided or available.	ncit:43234			
VD	CHROMOSOME	String		One of the bodies in the cell nucleus that is the bearer of genes, has the form of a delicate chromatin filament during interphase, contracts to form a compact cylinder segmented into two arms by the centromere during metaphase and anaphase stages of cell division, and is capable of reproducing its physical and chemical structure through successive cell divisions.	ncit:13202	_undefined_	_undefined_	_undefined_			
VD	GENE1	String		The gene symbol that represents either a single gene that has a mutation or the gene that comprises the 5' portion of the coding sequence involved in a fusion gene mutation.	ncit:C17595	_undefined_	_undefined_	_undefined_			
VD	GENE2	String		The gene symbol that represents the gene that comprises the 3' portion of the coding sequence for a fusion gene.	ncit:C171253	_undefined_	_undefined_	_undefined_			
VD	VARIANT_TYPE	Enum		A variation in or modification of the molecular sequence of a gene or gene product.	ncit:97926	_undefined_	_undefined_	_undefined_			
PD						Translocation	A genetic exchange where a piece of one chromosome is transfered to another chromosome.	ncit:3420	Derived by PCDC		
PD						Inversion	A structural change in genomic DNA where the 5' to 3' order of a nucleotide sequence is completely reversed to the 3' to 5' order relative to its adjacent sequences. This inversion is termed either pericentric, if it includes the centromere of a chromosome, or pancentric, if it excludes the centromere. An inversion mutation abnormality may be heritable or occur somatically.	ncit:45589			
PD						Mutation	Any transmissible change in the genetic material of an organism, which can result from radiation, viral infection, transposition, treatment with mutagenic chemicals and errors during DNA replication or meiosis. The effects of mutation range from single base changes to loss or gain of complete chromosomes. As many of the simpler alterations to DNA may be repaired, such changes are only heritable once the change is fixed in the DNA by the process of replication. Mutations may be associated with genetic diversity or with pathologies including cancer.	ncit:45576			
PD						Single Nucleotide Variant	A variation of a single nucleotide at a specific location of the genome due to base substitution, which is found at any frequency in the population.	ncit:164674			
PD						Copy Number Alteration	Variation in the number of copies of a particular sequence within the genetic material of an individual. Large-scale copy number polymorphisms are common and widely distributed in the human genome.	ncit:40207			
PD						Rearrangement	Any process affecting a DNA sequence that results in the gain, loss or exchange of DNA between chromosomes and/or autonomous replicons.	ncit:21069			
PD						Deletion	Any rearrangement to the genomic content that results in the loss of one or more nucleotides of DNA. Deletions are generally irreversible rearrangements. They may alter the reading frame of a gene, or may result in loss of large chromosomal regions.	ncit:19296			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:17649			
PD						Unknown	Reported as unknown by the data contributor.	ncit:17998			
PD						Not Reported	Not provided or available.	ncit:43234			
											
											
DD	Testing										
TD	Immunohistochemistry										
TG	One row per subject per immunohistochemistry test										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_IHC	Integer		The age (in days) of the subject at the immunohistochemical test.	ncit:C175006	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_		New VD	
VD	MARKERS	Enum		A laboratory method that uses antibodies to check for certain antigens (markers) in a sample of tissue. The antibodies are usually linked to an enzyme or a fluorescent dye. After the antibodies bind to the antigen in the tissue sample, the enzyme or dye is activated, and the antigen can then be seen under a microscope. Immunohistochemistry is used to help diagnose diseases, such as cancer. It may also be used to help tell the difference between different types of cancer (Source: NCI Dictionary of Cancer Terms)	ncit:C51944	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Immunohistochemistry].[IHC_TEST] skos:exactMatch [gct_v2.0].[Immunohistochemistry].[MARKERS]	
PD						CD30	Tumor necrosis factor receptor superfamily member 8 (595 aa, ~ 64 kDa) is encoded by the human TNFRSF8 gene. This protein is involved in ligand-mediated signal transduction, the positive regulation of apoptosis and the inhibition of cell proliferation.	ncit:C38906			
PD						beta-catenin	Catenin beta-1 (781 aa, ~85 kDa) is encoded by the human CTNNB1 gene. This protein is involved in Wnt signaling, adherens junction structure, and the regulation of cell growth.	ncit:C17478			
PD						GPC3	Glypican-3 (580 aa, ~66 kDa) is encoded by the human GPC3 gene. This protein is involved in the mediation of proteoglycan binding to the cell surface.	ncit:C88175			
VD	RESULT_TEXT	String		The string/text result of the immunohistochemistry test.	ncit:C175007	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Immunohistochemistry].[IHC_RESULT] skos:exactMatch [gct_v2.0].[Immunohistochemistry].[RESULT_TEXT]	
VD	RESULT_NUMERIC	Decimal		The numerical result of the immunohistochemistry test.	ncit:C177368	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Immunohistochemistry].[IHC_RESULT_NUMERIC] skos:exactMatch [gct_v2.0].[Immunohistochemistry].[RESULT_NUMERIC]	
											
											
DD	Disease Attributes										
TD	Diagnosis									[gct_v1.2].[Histology] skos:exactMatch [gct_v2.0].[Diagnosis]	
TG	One row per subject per diagnosis										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_DIAG_ASSESSMENT	Integer		The age (in days) of the subject at the time of this diagnostic assessment.	ncit:C175004	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Histology].[AGE_AT_HIST_ASSESSMENT] skos:exactMatch [gct_v2.0].[Diagnosis].[AGE_AT_DIAG_ASSESSMENT]	
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_		New VD	
VD	REVIEW_SOURCE	Enum		The type of assessment that was used to review.	ncit:C185324	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Histology].[HIST_ASSESSMENT_REVIEW] skos:exactMatch [gct_v2.0].[Diagnosis].[REVIEW_SOURCE]	
PD						Institutional	Local institutional review process at treating institution.	ncit:C185325			
PD						Central Review	Review by a single person or group of laboratory test results, protocols, or other data generated from multiple locations.	ncit:C191951			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	DIAGNOSIS_BASIS	Enum		The type of diagnosis used for determining the medical condition.		_undefined_	_undefined_	_undefined_		New VD	
PD						Histological	Pertaining to the combined microscopic physical features of cells and their surrounding extracellular environment in tissues.	ncit:C25526			
PD						Integrated	Combining things, people, or ideas of different types in one effective unit, group, or system.	ncit:C165682			
VD	DIAGNOSIS	Enum		The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.	ncit:C15220	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Histology].[HISTOLOGY] skos:exactMatch [gct_v2.0].[Diagnosis].[DIAGNOSIS]	
PD						Seminoma/Dysgerminoma/Germinoma	A term that refers to germinoma, seminoma, or dysgerminoma.	ncit:C121618			
PD						Embryonal Carcinoma	A non-seminomatous malignant germ cell tumor characterized by the presence of large germ cells with abundant cytoplasm resembling epithelial cells, geographic necrosis, high mitotic activity, and pseudoglandular and pseudopapillary structures formation. It can arise from the testis, ovary, and extragonadal sites (central nervous system and mediastinum).	ncit:C3752			
PD						Yolk Sac Tumor	A non-seminomatous malignant germ cell tumor composed of primitive germ cells. It is the most common malignant germ cell tumor in the pediatric population. It occurs in the infant testis, ovary, sacrococcygeal region, vagina, uterus, prostate, abdomen, liver, retroperitoneum, thorax, and pineal/third ventricle. The tumor mimics the yolk sac of the embryo and produces alpha-fetoprotein (AFP). Treatment includes: surgical resection, radiation, and chemotherapy. This tumor is very responsive to chemotherapy regimens that include cisplatinum.	ncit:C3011			
PD						Choriocarcinoma	An aggressive malignant tumor arising from trophoblastic cells. The vast majority of cases arise in the uterus and represent gestational choriocarcinomas that derive from placental trophoblastic cells. Approximately half of the cases develop from a complete hydatidiform mole. A minority of cases arise in the testis or the ovaries. There is often marked elevation of human chorionic gonadotropin (hCG) in the blood. Choriocarcinomas disseminate rapidly through the hematogenous route; the lungs are most frequently affected.	ncit:C2948			
PD						Mature Teratoma	A teratoma which may be cystic; it is composed entirely of well differentiated, adult-type mature tissues, without evidence of fetal-type immature tissues (grade 0 teratoma).	ncit:C9015			
PD						Immature Teratoma	A teratoma characterized by the presence of an extensive component of immature, fetal-type tissues.	ncit:C4286			
PD						Gonadoblastoma	A mixed germ cell/sex cord-stromal tumor characterized by the presence of large germ cells which resemble seminoma cells and small cells which resemble Sertoli or granulosa cells. It occurs in the testis and the ovary and is identified in children and adults. It is often associated with gonadal dysgenesis and abnormal karyotype.	ncit:C3754			
PD						Somatic Malignancy	Any mutation with an origin in cells that are not destined to become gametes. As a consequence, such mutations are not transmitted to progeny, though they will be transmitted during any mitosis within the individual. Somatic mutations may contribute to a broad variety of pathologies including cancer. 	ncit:C18060			
PD						Necrotic Tumor	A neoplasm characterized by focal or diffuse tumor cell necrosis.	ncit:C36029			
PD						Teratoma, NOS	A non-seminomatous germ cell tumor characterized by the presence of various tissues which correspond to the different germinal layers (endoderm, mesoderm, and ectoderm). It occurs in the testis, ovary, and extragonadal sites including central nervous system, mediastinum, lung, and stomach. According to the level of differentiation of the tissues which comprise the tumor, teratomas are classified as benign (grade 0 or 1), immature (grade 2), and malignant (grade 3). Grade 0 teratomas contain only mature elements; grade 1 teratomas have a limited degree of immaturity; grade 2 teratomas have a more extensive degree of immaturity; grade 3 teratomas are composed exclusively of immature tissues. The prognosis depends on patient age, tumor size and grade, and stage.	ncit:C3403			
PD						Mixed Germ Cell Tumor	A malignant germ cell tumor characterized by the presence of at least two different germ cell tumor components. The different germ cell tumor components include choriocarcinoma, embryonal carcinoma, yolk sac tumor, teratoma, and seminoma. It occurs in the ovary, testis, and extragonadal sites including central nervous system and mediastinum.	ncit:C4290			
PD						Malignant Teratoma	A teratoma composed exclusively of immature tissues.	ncit:C4287			
PD						Seminoma	A radiosensitive malignant germ cell tumor found in the testis (especially undescended), and extragonadal sites (anterior mediastinum and pineal gland). It is characterized by the presence of uniform cells with clear or dense cytoplasm which contains glycogen, and by a large nucleus which contains one or more nucleoli. The neoplastic germ cells form aggregates separated by fibrous septa. The fibrous septa contain chronic inflammatory cells, mainly lymphocytes.	ncit:C9309			
PD						Dysgerminoma	A malignant germ cell tumor characterized by the presence of a monotonous primitive germ cell population. The neoplastic cells form aggregates and have an abundant pale cytoplasm and uniform nuclei. The aggregates of the germ cells are separated by fibrous septa which contain inflammatory cells, mostly T-lymphocytes. It arises primarily in the ovaries, but can occur both primarily and secondarily at other sites, particularly the central nervous system. It responds to chemotherapy and radiotherapy. Its prognosis is related to the tumor stage.	ncit:C2996			
PD						Germinoma	A malignant germ cell tumor arising in the central nervous system. It is characterized by the presence of primitive, large malignant germ cells and lymphocytes.	ncit:C3753			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	RESULT_TEXT	String		The string/text result of the histologic test.		_undefined_	_undefined_	_undefined_	Note: String result can include anything that is not a single numeric result, i.e. "Positive", "Negative", "Present", "Absent", "Yes", "No", "Elevated," "Depressed", "Above threshold", "Below threshold", ranges, as well as bucketed categories, etc.	[gct_v1.2].[Histology].[HISTOLOGY_RESULT] skos:exactMatch [gct_v2.0].[Diagnosis].[RESULT_TEXT]	Change to MIXED_HISTOLOGY ? Or something better
VD	RESULT_NUMERIC	Decimal		The numeric result for the histology result.	ncit:C177361	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Histology].[HISTOLOGY_RESULT_NUMERIC] skos:exactMatch [gct_v2.0].[Diagnosis].[RESULT_NUMERIC]	
VD	RESULT_UNIT	Enum		The unit of the numeric measurement of the diagnosis.	ncit:C177362	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Histology].[HISTOLOGY_RESULT_UNIT] skos:exactMatch [gct_v2.0].[Diagnosis].[RESULT_UNIT]	
PD						%	A unit for expressing a number as a fraction of hundred (on the basis of a rate or proportion per hundred).	ncit:C48570			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	MORPH_CODE	String		The morphology code describes the cell type of the tumor and its biologic activity.		_undefined_	_undefined_	_undefined_		[gct_v1.2].[Histology].[HIST_ICD_O_MORPH] skos:exactMatch [gct_v2.0].[Diagnosis].[MORPH_CODE]	
VD	MORPH_CODE_SYSTEM	Enum		The coding system for the code used in MORPH_CODE.		_undefined_	_undefined_	_undefined_		New VD	
PD						ICD-O	A code for the primary site of a tumor being reported using either ICD-O-2 or ICD-O-3.	ncit:C160903			
VD	GRADE	Enum		The degree of abnormality of cancer cells, a measure of differentiation, the extent to which cancer cells are similar in appearance and function to healthy cells of the same tissue type. The degree of differentiation often relates to the clinical behavior of the particular tumor. Based on the microscopic findings, tumor grade is commonly described by one of four degrees of severity. Histopathologic grade of a tumor may be used to plan treatment and estimate the future course, outcome, and overall prognosis of disease. Certain types of cancers, such as soft tissue sarcoma, primary brain tumors, lymphomas, and breast have special grading systems.	ncit:C18000	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Histology].[HISTOLOGY_GRADE] skos:exactMatch [gct_v2.0].[Diagnosis].[GRADE]	
PD						Norris Immature Teratoma Grading System, Grade 1	Tumor is well differentiated (low grade), system not specified	ncit:C28077	Note: Only associated with Immature Teratoma.		
PD						Norris Immature Teratoma Grading System, Grade 2	Tumor is moderately differentiated (intermediate grade), system not specified	ncit:C28078			
PD						Norris Immature Teratoma Grading System, Grade 3	Tumor is poorly differentiated (high grade) , system not specified	ncit:C28079			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	MATURE_GLIAL_IMPLANTS	Enum		Was there nodules of mature glial tissue that developed in the peritoneum? It is usually accompanied by mature or immature ovarian teratoma.	ncit:C177363	_undefined_	_undefined_	_undefined_	Note: Only associated with Mature and Immature Teratoma		
PD						Yes	The affirmative response to a question.	ncit:C49488			
PD						No	The non-affirmative response to a question.	ncit:C49487			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	SOMATIC_MALIGNANCY_TYPE	Enum		A malignant non-germ cell component that typically develops secondarily within a germ cell tumor. The malignant cellular component is usually sarcomatous or carcinomatous.	ncit:C177364	_undefined_	_undefined_	_undefined_	Note: Only associated with Somatic Malignancy 		
PD						Rhabdomyosarcoma	A rare aggressive malignant mesenchymal neoplasm arising from skeletal muscle. It usually occurs in children and young adults. Only a small percentage of tumors arise in the skeletal muscle of the extremities. The majority arise in other anatomic sites.	ncit:C3359			
PD						Sarcoma, NOS	A usually aggressive malignant neoplasm of the soft tissue or bone. It arises from muscle, fat, fibrous tissue, bone, cartilage, and blood vessels. Sarcomas occur in both children and adults. The prognosis depends largely on the degree of differentiation (grade) of the neoplasm. Representative subtypes are liposarcoma, leiomyosarcoma, osteosarcoma, and chondrosarcoma.	ncit:C9118			
PD						Adenocarcinoma	A common cancer characterized by the presence of malignant glandular cells. Morphologically, adenocarcinomas are classified according to the growth pattern (e.g., papillary, alveolar) or according to the secreting product (e.g., mucinous, serous). Representative examples of adenocarcinoma are ductal and lobular breast carcinoma, lung adenocarcinoma, renal cell carcinoma, hepatocellular carcinoma (hepatoma), colon adenocarcinoma, and prostate adenocarcinoma.	ncit:C2852			
PD						Primitive Neuroectodermal Tumor	A malignant neoplasm that originates in the neuroectoderm. The neuroectoderm constitutes the portion of the ectoderm of the early embryo that gives rise to the central and peripheral nervous systems and includes some glial cell precursors.	ncit:C3716			
PD						Squamous Cell Carcinoma	A carcinoma arising from squamous epithelial cells. Morphologically, it is characterized by the proliferation of atypical, often pleomorphic squamous cells. Squamous cell carcinomas are graded by the degree of cellular differentiation as well, moderately, or poorly differentiated. Well differentiated carcinomas are usually associated with keratin production and the presence of intercellular bridges between adjacent cells. Representative examples are lung squamous cell carcinoma, skin squamous cell carcinoma, and cervical squamous cell carcinoma.	ncit:C2929			
PD						Malignant Histiocytosis	An antiquated term referring to cases of systemic non-Hodgkin lymphomas which are composed of large, atypical neoplastic lymphoid cells and cases of hemophagocytic syndromes. In the past, cases of anaplastic large cells lymphoma were called malignant histiocytosis.	ncit:C7202			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Disease Attributes										
TD	Staging										
TG	One row per subject per staging assessment										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_STAGING	Integer		Age of subject (in days) at the time of the staging assessment.	ncit:C177359	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_		New VD	
VD	STAGE	Enum		The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body.	ncit:C16899	_undefined_	_undefined_	_undefined_			
PD						FIGO, Stage I	A FIGO stage term that applies to gynecologic cancers. For cervical cancer, it refers to invasive cancer that is confined to the cervix; for endometrial cancer, it refers to cancer confined to the corpus uteri with no or less than one-half myometrial invasion (IA) or invasion of one-half or more of the myometrium (IB).	ncit:C96244		[gct_v1.2].[Staging].[STAGE].[Stage I] skos:exactMatch [gct_v2.0].Staging].[STAGE].[FIGO, Stage I]	
PD						FIGO, Stage II	A FIGO stage term that applies to gynecologic cancers. For cervical cancer, it refers to cancer that invades beyond the cervix, but not to the pelvic wall or lower third of the vagina; for endometrial cancer, it refers to cancer that invades the stromal connective tissue of the cervix, but it does not extend beyond the uterus.	ncit:C96252		[gct_v1.2].[Staging].[STAGE].[Stage II] skos:exactMatch [gct_v2.0].Staging].[STAGE].[FIGO, Stage II]	
PD						FIGO, Stage III	A FIGO stage term that applies to gynecologic cancers. For cervical cancer, it refers to cancer that extends to the pelvic wall, and/or involves the lower third of vagina, and/or causes hydronephrosis or non-functioning kidney; for endometrial cancer, FIGO stage III is subdivided into stages IIIA and IIIB; in FIGO stage IIIA, there is involvement of the serosa and/or the adnexa; for FIGO stage IIIB, there is vaginal or parametrial involvement.	ncit:C96255		[gct_v1.2].[Staging].[STAGE].[Stage III] skos:exactMatch [gct_v2.0].Staging].[STAGE].[FIGO, Stage III]	
