INFO	Title	Osteosarcoma (OS) Data Dictionary									
INFO	Name	os_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The OS data dictionary is a consensus data schema built by an international group of pediatric osteosarcoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the Harmonization International Bone Sarcoma Consortium (HIBiSCus). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
PD						CT Scan	A method of examining structures within the body by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis.	ncit:C17204			
PD						MRI	Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders.	ncit:C16809			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	TISSUE_TYPE	Enum	2 - contributors should prioritize inclusion if resources are available	A piece of tissue removed from an organism for examination, analysis, or propagation.	ncit:C119940	_undefined_	_undefined_	_undefined_			
PD						Bone	The structural organ comprised of specialized connective tissue that forms the skeletal components of the body.	ncit:C12366			
PD						Soft Tissue	A general term comprising tissue that is not hardened or calcified; including muscle, fat, blood vessels, nerves, tendons, ligaments and fascia.	ncit:C12471			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	CLASSIFICATION	Enum	2 - contributors should prioritize inclusion if resources are available	The classification of a tumor based primarily on histopathological characteristics.	ncit:C174459	_undefined_	_undefined_	_undefined_			
PD						Primary	A tumor at the original site of origin.	ncit:C8509			
PD						Local Extension	The spread or growth of a tumor (abnormal mass of tissue) from its initial site of origin into nearby tissues or structures within the same region of the body. Local extension is a characteristic feature of many cancers and is an important consideration in cancer staging and diagnosis.				
PD						Metastatic	A term referring to the clinical or pathologic observation of a tumor extension from its original site of growth to another anatomic site.	ncit:C14174			
PD						Regional	The spread or growth of a tumor (abnormal mass of tissue) from its initial site of origin to regional lymph nodes.	ncit:C41844			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	SITE	Enum	2 - contributors should prioritize inclusion if resources are available	The anatomical site on which the disease is assessed.	ncit:C166232	_undefined_	_undefined_	_undefined_	Note: If there were multiple primary sites, include one observation per primary site.		
PD						Abdominal Wall	The tissues that surround the organs that are present within the abdominal cavity. The abdominal wall tissue is composed of layers of fat, parietal peritoneum, fascia, and muscles.	ncit:C77608			
PD						Adjacent Organ	An organ that is next to an organ of interest.	ncit:C180347			
PD						Adrenal Gland	A flattened, roughly triangular body resting upon the upper end of each kidney; it is one of the ductless glands furnishing internal secretions (epinephrine and norepinephrine from the medulla and steroid hormones from the cortex).	ncit:C12666			
PD						Ankle	A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.	ncit:C32078			
PD						Ankle Joint	A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.	ncit:C32078			
PD						Anterior Skull Base	The portion of the skull that is formed laterally by the orbital plates of the frontal bone, medially by the cribriform palate and crista galli of the ethmoid bone, and posteriorly by the planum sphenoidale and lesser wings of the sphenoid bone.	ncit:C180372			
PD						Anus	The lower opening of the digestive tract, lying in the cleft between the buttocks, through which fecal matter is extruded.	ncit:C43362			
PD						Appendix	Small tissue projection existing as a cecal diverticulum with a questionable history of vestigial versus specialized organ.	ncit:C12380			
PD						Axilla	The underside concavity where the arm and the shoulder are joined.	ncit:C12674			
PD						Bladder	The distensible sac-like organ that functions as a reservoir of urine, collecting from the kidneys and eliminating via the urethra.	ncit:C12414			
PD						Bone	The structural organ comprised of specialized connective tissue that forms the skeletal components of the body.	ncit:C12366			
PD						Bone Face	Any bone that contributes to the facial structures, except those bones that are part of the braincase.	ncit:C63706			
PD						Bone Foot	One of the seven tarsal, five metatarsal, or 14 phalangeal bones in the foot.	ncit:C13068			
PD						Bone Shoulder Girdle	The bony arch formed by the collarbones and shoulder blades.	ncit:C33547			
PD						Brain	An organ composed of grey and white matter containing billions of neurons that is the center for intelligence and reasoning. It is protected by the bony cranium.	ncit:C12439			
PD						Breast	One of two hemispheric projections of variable size situated in the subcutaneous layer over the pectoralis major muscle on either side of the chest.	ncit:C12971			
PD						Bronchus	Tubular structure in continuation with the trachea, serving as air passage. It terminates in the lung (terminal bronchiole).	ncit:C12683			
PD						Buttock	Either of the fleshy mounds in the rear pelvic area of the human body formed by the gluteal muscles.	ncit:C89806			
PD						Calcaneus					
PD						Carpal Bone	Any of the small bones of the wrist joint, located between the radius and the ulna and the metacarpus.	ncit:C12688			
PD						Carpus					
PD						Cervical Spine	The set of vertebrae immediately caudal to the skull.	ncit:C69313			
PD						Cervical Vertebra	Any one of the seven vertebrae that are caudal to the skull, denoted as C1, C2, C3, C4, C5, C6 or C7.	ncit:C12693			
PD						Chest Wall	The total system of structures outside the lungs that move as a part of breathing; it includes all structures from the skin to the parietal pleura.	ncit:C62484			
PD						Clavicle	One of a pair of bones linking the scapula and the sternum. The clavicle is part of the pectoral girdle.	ncit:C12695			
PD						Coccyx	A small bone located at the bottom of the spine. The coccyx is a result of 3-5 fused rudimentary vertebrae.	ncit:C12696			
PD						Colon	The part of the large intestine measured from the cecum to the rectum consisting of ascending, transverse, descending and sigmoid portions. The purpose of the colon is to remove water from digested food prior to excretion.	ncit:C12382			
PD						Cutaneous	Having to do with the skin.	ncit:C13316			
PD						Dermis	The inner layer of the two main layers of the skin. The dermis has connective tissue, blood vessels, oil and sweat glands, nerves, hair follicles, and other structures. It is made up of a thin upper layer called the papillary dermis, and a thick lower layer called the reticular dermis.	ncit:C12701			
PD						Dorsal Spine	A spinal curve that originates at the middle of the second thoracic vertebra and terminates at the middle of the last thoracic vertebra.	ncit:C32472			
PD						Duodenum	A jointed tube 25-30 cm long that connects the stomach to the jejunum.	ncit:C12263			
PD						Elbow	A type of hinge joint located between the forearm and upper arm.	ncit:C32497			
PD						Elbow Joint	A type of hinge joint located between the forearm and upper arm.	ncit:C32497			
PD						Epididymis	A crescent-like structure located in the upper and posterior surfaces of the testis. It consists of the efferent ductules and the duct of the epididymis. It facilitates the maturation of sperm that is produced in the testis.	ncit:C12328			
PD						Esophagus	The portion of the digestive canal between the pharynx and stomach. It is about 25 cm long and consists of three parts: the cervical part, from the cricoid cartilage to the thoracic inlet; thoracic part, from thoracic inlet to the diaphragm; and abdominal part, below the diaphragm to the cardiac opening of the stomach.	ncit:C12389			
PD						Ethmoid Bone	A light and spongy bone that is cubical in shape. This bone is positioned at the anterior part of the cranium, sitting between the two orbits, at the roof of the nose. It consists of four parts: a horizontal or cribriform plate; a perpendicular plate; and two lateral masses or labyrinths.	ncit:C12711			
PD						Facial Region	The anterior portion of the head extending from the forehead to the chin and ear to ear. The facial structures contain the eyes, nose and mouth, cheeks and jaws.	ncit:C13071			
PD						Fallopian Tube	One of a pair of tubes that extend from the uterus to each of the ovaries. Following ovulation the egg travels down the fallopian tube to the uterus where fertilization may or may not occur.	ncit:C12403			
PD						Female Reproductive System Part	Any component of the female organs and tissues involved in the production and maturation of gametes and in their union and subsequent development as offspring.	ncit:C13039			
PD						Femur	The upper leg bone positioned between the pelvis and the knee.	ncit:C12717			
PD						Fibula	The small, lateral calf bone extending from the knee to the ankle.	ncit:C12718			
PD						Fibular Head	The highest portion of the fibula that articulates with the patella.	ncit:C32719			
PD						Finger	Any of the digits of the hand.	ncit:C32608			
PD						Foot	The structure found below the ankle joint required for locomotion.	ncit:C32622			
PD						Foot Bone	The structure found below the ankle joint required for locomotion.	ncit:C32622			
PD						Foot Phalanges	A bone of the foot.	ncit:C52772			
PD						Gallbladder	A pear-shaped organ located under the liver that stores and concentrates bile secreted by the liver. From the gallbladder the bile is delivered through the bile ducts into the intestine thereby aiding the digestion of fat-containing foods.	ncit:C12377			
PD						Gastrointestinal Tract	The upper gastrointestinal (GI) tract is comprised of mouth, pharynx, esophagus and stomach while the lower GI tract consists of intestines and anus. The primary function of the GI tract is to ingest, digest, absorb and ultimately excrete food stuff.	ncit:C34082			
PD						Groin	The lower region of the anterior abdominal wall located laterally to the pubic region.	ncit:C12726			
PD						Hand	The distal portion of the upper extremity. It consists of the carpus, metacarpus, and digits.	ncit:C32712			
PD						Hand Bone	A bone of the hand.	ncit:C52771			
PD						Hand Phalanges	The 14 bones that are found in the fingers of each hand and also in the toes of each foot. Each finger has 3 phalanges (the distal, middle, and proximal); the thumb only has 2.	ncit:C52771			
PD						Head and Neck	For oncology, an area of the body generally construed to comprise the base of skull and facial bones, sinuses, orbits, salivary glands, oral cavity, oropharynx, larynx, thyroid, facial and neck musculature and lymph nodes draining these areas.	ncit:C12418			
PD						Heart	A hollow organ located slightly to the left of the middle portion of the chest. It is composed of muscle and it is divided by a septum into two sides: the right side which receives de-oxygenated blood from the body and the left side which sends newly oxygenated blood to the body. Each side is composed of two chambers: the atrium (receiving blood) and ventricle (ejecting blood).	ncit:C12727			
PD						Humerus	The upper arm bone between the shoulder and elbow.	ncit:C12731			
PD						Hypodermis	A tissue sample that contains the epidermis, dermis, and subcutaneous adipose tissue.	ncit:C92441			
PD						Inferior Limb	A bone of the leg (lower extremity).	ncit:C12982			
PD						Illium					
PD						Ischium	The most posterior and ventral bone making up the pelvis.	ncit:C32884			
PD						Joint, NOS					
PD						Kidney	One of the two bean-shaped organs located on each side of the spine in the retroperitoneum. The right kidney is located below the liver and the left kidney below the diaphragm. The kidneys filter and secrete metabolic products and minerals from the blood, thus maintaining homeostasis. On the superior pole of each kidney there is an adrenal gland. Each kidney and adrenal gland is surrounded by fat.	ncit:C12415			
PD						Knee	A joint connecting the lower part of the femur with the upper part of the tibia. The lower part of the femur and the upper part of the tibia are attached to each other by ligaments. Other structures of the knee joint include the upper part of the fibula, located below and parallel to the tibia, and the patella which moves as the knee bends.	ncit:C32898			
PD						Knee Joint	A joint connecting the lower part of the femur with the upper part of the tibia. The lower part of the femur and the upper part of the tibia are attached to each other by ligaments. Other structures of the knee joint include the upper part of the fibula, located below and parallel to the tibia, and the patella which moves as the knee bends.	ncit:C32898			
PD						Larynx	The cartilaginous structure of the respiratory tract between the pharynx and the trachea. It contains elastic vocal cords required for sound production.	ncit:C12420			
PD						Leg	The portion of the lower extremity between the knee and the ankle. For clinical purposes this term is also used to refer to the whole inferior limb.	ncit:C32974			
PD						Liver	A triangular-shaped organ located under the diaphragm in the right hypochondrium. It is the largest internal organ of the body, weighting up to 2 kg. Metabolism and bile secretion are its main functions. It is composed of cells which have the ability to regenerate.	ncit:C12392			
PD						Lower Limb	The limb that is composed of the hip, thigh, leg and foot.	ncit:C12742			
PD						Lumbar Spine	Those vertebrae between the ribs and the pelvis, L1-L5 in man.	ncit:C69314			
PD						Lumbar Vertebra	One of the five bones situated between the thoracic vertebrae and the sacrum in the lower part of the spine.	ncit:C12744			
PD						Lung	One of a pair of viscera occupying the pulmonary cavities of the thorax, the organs of respiration in which aeration of the blood takes place. As a rule, the right lung is slightly larger than the left and is divided into three lobes (an upper, a middle, and a lower or basal), while the left has two lobes (an upper and a lower or basal). Each lung is irregularly conical in shape, presenting a blunt upper extremity (the apex), a concave base following the curve of the diaphragm, an outer convex surface (costal surface), an inner or mediastinal surface (mediastinal surface), a thin and sharp anterior border, and a thick and rounded posterior border.	ncit:C12468			
PD						Lymph Nodes	A bean-shaped organ surrounded by a connective tissue capsule. It is part of the lymphatic system and is found throughout the body. It is composed predominantly of lymphocytes and its main function is immune protection.	ncit:C12745			
PD						Lymphatic Basin	A regional collection of lymph nodes that drains lymph from a specific area of the body.	ncit:C94547			
PD						Mandible	The lower jaw bone holding the lower teeth.	ncit:C12290			
PD						Maxilla	The upper jawbone in vertebrates; it is fused to the cranium.	ncit:C26470			
PD						Meninges	Any one of three membranes that surround the brain and spinal cord.	ncit:C12348			
PD						Metacarpals	Any of the five bones between the wrist and the fingers that form the skeleton of the palm.	ncit:C12751			
PD						Metatarsals	A bone belonging to the middle part of the foot located between toes and ankle. There are 5 metatarsal bones and they are numbered from the medial side.	ncit:C12752			
PD						Nasal Septum	The thin wall between the two nasal cavities.	ncit:C33160			
PD						Nasopharynx	The part of the pharynx in the back of the throat, at and above the soft palate. The nasopharynx is continuous with the nasal passages.	ncit:C12423			
PD						Neck	The region that connects the head to the rest of the body.	ncit:C13063			
PD						Oral Cavity	The cavity located at the upper end of the alimentary canal, behind the teeth and gums that is bounded on the outside by the lips, above by the hard and soft palates and below by the tongue.	ncit:C12421			
PD						Orbit	The bony cavity of the skull which contains the eye, anterior portion of the optic nerve, ocular muscles and ocular adnexa. Seven bones contribute to the structure of the orbit: the frontal, maxillary, zygomatic, sphenoid, lacrimal, ethmoid, and palatine bones.	ncit:C12347			
PD						Ovary	One of the paired female reproductive glands containing the ova or germ cells; the ovary's stroma is a vascular connective tissue containing numbers of ovarian follicles enclosing the ova.	ncit:C12404			
PD						Pancreas	An organ behind the lower part of the stomach that is the shape of a fish and about the size of a hand. It is a compound gland composed of both exocrine and endocrine tissues. The endocrine pancreas makes insulin so that the body can use glucose (sugar) for energy. The exocrine pancreas makes enzymes that help the body digest food. Spread all over the pancreas are areas called the Islets of Langerhans. The cells in these areas each have a special purpose. The alpha cells make glucagon, which raises the level of glucose in the blood; the beta cells make insulin; the delta cells make somatostatin. There are also PP cells and D1 cells, about which little is known.	ncit:C12393			
PD						Paranasal Sinus	Any one of the air-filled spaces within the ethmoid, frontal, maxillary, or sphenoid bones, which communicate with the nasal cavity.	ncit:C12763			
PD						Paratesticular	A small anatomical compartment that contains the testicular collecting system, and mesothelial and mesenchymal components that represent extensions of the abdominal cavity and retroperitoneum.	ncit:C162491			
PD						Patella	A small flat triangular bone in front of the knee that articulates with the femur and protects the knee joint.	ncit:C33282			
PD						Pelvis	The bony, basin-shaped structure formed by the hipbones and the base of the backbone supporting the lower limbs in humans.	ncit:C12767			
PD						Penis	The male organ of urination and copulation.	ncit:C12409			
PD						Peritoneum	The tissue that lines the wall of the abdominal cavity, intestine, mesentery, and pelvic organs. It consists of the parietal peritoneum and the visceral peritoneum.	ncit:C12770			
PD						Phalanges					
PD						Pleura	The tissue that lines the wall of the thoracic cavity and the surface of the lungs.	ncit:C12469			
PD						Prostate	The walnut shaped accessory sex gland of the male reproductive system. It is located in the pelvis just below the bladder, surrounding the prostatic part of the urethra. The prostate gland secretes a fluid which is part of the semen.	ncit:C12410			
PD						Pubis					
PD						Radius Bone	The long bone of the forearm that extends from the lateral aspect of the elbow to the thumb-side of the wrist.	ncit:C12777			
PD						Rectum	The terminal portion of the gastrointestinal tract, extending from the rectosigmoid junction to the anal canal.	ncit:C12390			
PD						Retroperitoneum	The back of the abdomen where the kidneys lie and the great blood vessels run.	ncit:C12298			
PD						Rib	Any one of the paired bones, 12 on either side, extending from the thoracic vertebrae toward the median line on the ventral aspect of the trunk. The long curved bones which form the rib cage. Generally, ribs 1 to 7 are connected to the sternum by their costal cartilages and are called true ribs, whereas ribs 8 to 12 are termed false ribs.	ncit:C12782			
PD						Sacrum	The triangular bone, made up of 5 fused bones of the spine, located in the lower area of the spine between the fifth lumbar vertebra and the coccyx.	ncit:C33508			
PD						Salivary Gland	An exocrine gland that secretes saliva. Salivary glands are mostly located in and around the oral cavity.	ncit:C12426			
PD						Scalp	The skin which covers the top of the head and which is usually covered by hair.	ncit:C89807			
PD						Scapula	The flat triangle-shaped bone that connects the humerus with the clavicle in the back of the shoulder.	ncit:C12783			
PD						Shoulder Girdle	The bony arch formed by the collarbones and shoulder blades.	ncit:C33547			
PD						Shoulder Joint	A ball-and-socket joint at the upper end of the humerus, located at the junction of humerus and scapula.	ncit:C33548			
PD						Skull	The bones that form the head, made up of the bones of the braincase and face.	ncit:C12789			
PD						Small Intestine	The section of the intestines between the pylorus and cecum. The small intestine is approximately 20 feet long and consists of the duodenum, the jejunum, and the ileum. Its main function is to absorb nutrients from food as the food is transported to the large intestine.	ncit:C12386			
PD						Spine	A series of bones, muscles, tendons, and other tissues reaching from the base of the skull to the tailbone. The vertebral column forms the axis of the skeleton and encloses as well as protects the spinal cord and the fluid surrounding the spinal cord.	ncit:C12998			
PD						Spleen	An organ that is part of the hematopoietic and immune systems. It is composed of the white pulp and the red pulp and is surrounded by a capsule. It is located in the left hypochondriac region. Its functions include lymphocyte production, blood cell storage, and blood cell destruction.	ncit:C12432			
PD						Sternum	The long, flat bone connecting with the cartilages of the first seven ribs and the clavicle.	ncit:C12793			
PD						Stomach	An organ located under the diaphragm, between the liver and the spleen as well as between the esophagus and the small intestine. The stomach is the primary organ of food digestion.	ncit:C12391			
PD						Superior Maxilla	The facial bone that forms the mediala floor of the orbit.	ncit:C33682			
PD						Tarsals	Any one of the seven bones forming the instep of the foot.	ncit:C12796			
PD						Temporal Bone	A large irregular bone situated at the base and side of the skull, connected with the mandible via the temporomandibular joint. The temporal bone consists of the squamous, tympanic and petrous parts. The petrous portion of the temporal bone contains the vestibulocochlear organ of the inner ear.	ncit:C12797			
PD						Testis	Either of the paired male reproductive glands that produce the male germ cells and the male hormones.	ncit:C12412			
PD						Thigh	A part of the lower limb, located between hip and knee.	ncit:C33763			
PD						Thoracic Vertebra	One of 12 vertebrae in the human vertebral column. The thoracic vertebrae are situated between the seventh cervical vertebra down to the first lumbar vertebra.	ncit:C12798			
PD						Thorax	The division of the body lying between the neck and the abdomen.	ncit:C12799			
PD						Thymus	A bi-lobed organ surrounded by a connective tissue capsule. It is located in the upper anterior portion of the chest, behind the sternum. It is composed predominantly of lymphocytes and fewer epithelial cells. Connective tissue septa separate the lobes into lobules. The lobules contain an outer portion (cortical zone) which is rich in lymphocytes and an inner portion (medullary zone) which is rich in epithelial cells. It is an organ essential for the development of the immune system. Its function is the maturation of the progenitor lymphoid cells to thymocytes and subsequently to mature T-cells. It reaches its greatest weight at puberty and subsequently begins to involute.	ncit:C12433			
PD						Thyroid	An endocrine gland located at the base of the neck that produces and secretes thyroxine and other hormones. Thyroxine is important for metabolic control.	ncit:C12400			
PD						Tibia	A bone located between the femur and the tarsus, being part of the lower leg.	ncit:C12800			
PD						Toe	One of the terminal digits of the foot.	ncit:C33788			
PD						Tonsil	The two organs situated in the throat on either side of the narrow passage from the mouth to the pharynx. They are composed of lymphoid tissues.	ncit:C12802			
PD						Trachea	The fibrocartilaginous, mucous-lined tube passing from the larynx to the bronchi.	ncit:C12428			
PD						Ulna	One of the bones that comprise the forearm. The largest aspect articulates with the humerus at the elbow joint and the smallest portion of the ulna articulates with the carpal bones in the wrist.	ncit:C12809			
PD						Upper Airway	The sinuses and those parts of the respiratory system above the trachea. It includes the nares, nasopharynx, oropharynx, larynx, vocal cords, glottis and upper trachea.	ncit:C33839			
PD						Upper Arm	The portion of the upper extremity between the shoulder and the elbow. For clinical purposes this term is also used to refer to the whole superior limb.	ncit:C32141			
PD						Upper Limb	The region of the body that includes the arm, the forearm, and hand.	ncit:C12671			
PD						Ureter	The thick-walled tube that carries urine from each kidney to the bladder.	ncit:C12416			
PD						Uterus	A hollow, thick-walled, muscular organ located within the pelvic cavity of a woman. Within the uterus the fertilized egg implants and the fetus develops during pregnancy.	ncit:C12405			
PD						Vagina	The female genital canal, extending from the uterus to the vulva.	ncit:C12407			
PD						Vasculo-Nervous	A body structure consisting of nerves traveling together with arteries, veins, and/or lymphatics.	ncit:C74603			
PD						Viscera	Two or more internal organs.	ncit:C28287			
PD						Vulva	The external, visible part of the female genitalia surrounding the urethral and vaginal opening. The vulva includes the clitoris and inner as well as outer labia.	ncit:C12408			
PD						Wrist	A joint between the distal end of the radius and the proximal row of carpal bones.	ncit:C33894			
PD						Wrist Joint	A joint between the distal end of the radius and the proximal row of carpal bones.	ncit:C33894			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	LATERALITY	Enum	2 - contributors should prioritize inclusion if resources are available	A qualifier for the side of the body the tumor findings assessment is performed.	ncit:C119931	_undefined_	_undefined_	_undefined_			
PD						Left	A finding indicating the tumor location is on the left side of the specimen.	ncit:C160200			
PD						Right	A finding indicating the tumor location is on the right side of the specimen.	ncit:C160199			
PD						Bilateral	A finding indicating the tumor location is on the both sides of the specimen.	ncit:C160201			
PD						Midline	A finding indicating the tumor location is on the midline of the specimen.	ncit:C162614			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	SITE_WITHIN_BONE	Enum	2 - contributors should prioritize inclusion if resources are available	The anatomic site within the bone.	ncit:C174998	_undefined_	_undefined_	_undefined_			
PD						Distal	Situated farthest from a point of attachment or origin, as of a limb or bone; or directed away from the midline of the body.	ncit:C25237			
PD						Proximal	Situated nearest to a point of attachment or origin.	ncit:C25236			
PD						Epiphysis	The shaft of a long bone, located between the two epiphyses; it is cylindrical in shape, with walls of compact bone enclosing a central marrow cavity.	ncit:C32460			
PD						Metaphysis	An area of a long bone located at the junction of the diaphysis and epiphysis, which harbors the epiphyseal plate in immature bones.	ncit:C52723			
PD						Diaphysis	The round end of the long bones.	ncit:C32529			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	DIAMETER1	Decimal	2 - contributors should prioritize inclusion if resources are available	The longest diameter of the tumor.	ncit:C96684	_undefined_	_undefined_	_undefined_			
VD	DIAMETER1_UNIT	Enum	2 - contributors should prioritize inclusion if resources are available	The unit of measure symbol associated with a biospecimen or tissue fragment dimension.		_undefined_	_undefined_	_undefined_			
PD						cm	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.	ncit:C49668			
VD	DIAMETER2	Decimal	2 - contributors should prioritize inclusion if resources are available	The second longest diameter of the tumor.	ncit:C96684	_undefined_	_undefined_	_undefined_			
VD	DIAMETER2_UNIT	Enum	2 - contributors should prioritize inclusion if resources are available	The unit of measure symbol associated with a biospecimen or tissue fragment dimension.		_undefined_	_undefined_	_undefined_			
PD						cm	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.	ncit:C49668			
VD	DIAMETER3	Decimal	2 - contributors should prioritize inclusion if resources are available	The third longest diameter of the tumor.	ncit:C16809	_undefined_	_undefined_	_undefined_			
VD	DIAMETER3_UNIT	Enum	2 - contributors should prioritize inclusion if resources are available	The unit of measure symbol associated with a biospecimen or tissue fragment dimension.		_undefined_	_undefined_	_undefined_			
PD						cm	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.	ncit:C49668			
VD	TUMOR_VOLUME	Enum	2 - contributors should prioritize inclusion if resources are available	The size of a cancer measured by the amount of space taken up by the tumor. For example, the tumor volume of prostate cancer is the percentage of the prostate taken up by the tumor.	ncit:C94515	_undefined_	_undefined_	_undefined_			
PD						<200 mL	A finding of a tumor volume that is less than 200 milliters.	ncit:C175000			
PD						>=200 mL	A finding of a tumor volume that is equal to or greater than 200 milliters.	ncit:C175001			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	FRACTURE	Enum	2 - contributors should prioritize inclusion if resources are available	Did the subject experienced a fracture at this site?	ncit:C3046	_undefined_	_undefined_	_undefined_			
PD						Yes	The affirmative response to a question.	ncit:C49488			
PD						No	The non-affirmative response to a question.	ncit:C49487			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	DEPTH	Enum	2 - contributors should prioritize inclusion if resources are available	The depth of the tumor.	ncit:C25333	_undefined_	_undefined_	_undefined_			
PD						Superficial	Of little substance or significance; involving only a surface.	ncit:C25239			
PD						Deep	Extending relatively far inward.	ncit:C25240			
PD						Surface	The extended two-dimensional outer boundary of a three-dimensional object.	ncit:C25245			
PD						Cortical	The dense or compact outer layer of tissue that covers the bone.	ncit:C52714			
PD						Intra-Medullary	Occurring in, or located within the spinal cord or the marrow space of a bone.	ncit:C96266			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Disease Attributes										
TD	Disease Characteristics										
TG	One row per subject per disease site										
VD	HONEST_BROKER_SUBJECT_ID	String	To-do	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String	To-do	This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_			
VD	SKIP_LESION	Enum	2 - contributors should prioritize inclusion if resources are available	Was there a benign or malignant pathologic process which is patchy and skips areas which are normal (uninvolved by the pathologic process)?	ncit:C174454	_undefined_	_undefined_	_undefined_			
PD						Yes	The affirmative response to a question.	ncit:C49488			
PD						No	The non-affirmative response to a question.	ncit:C49487			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	SKIP_MET_INVOLVEMENT	Enum	2 - contributors should prioritize inclusion if resources are available	A question about the areas involved in the skip metastasis.	ncit:C186745	_undefined_	_undefined_	_undefined_			
PD						Single	One metastatic area.	ncit:C180356			
PD						Multiple	More than one metastatic area.	ncit:C180354			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Disease Attributes										
TD	Diagnosis										
TG	One row per subject per diagnosis										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	AGE_AT_DIAG_ASSESSMENT	Integer		The age (in days) of the subject at the time of this diagnostic assessment.	ncit:C175004	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_			
VD	DIAGNOSIS_BASIS	Enum		The type of diagnosis used for determining the medical condition.		_undefined_	_undefined_	_undefined_		New VD	
PD						Histological	Pertaining to the combined microscopic physical features of cells and their surrounding extracellular environment in tissues.	ncit:C25526		New PD	
VD	DIAGNOSIS	Enum	Tier 2	The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.	ncit:C15220	_undefined_	_undefined_	_undefined_			
PD						Conventional Osteosarcoma	A high grade malignant bone-forming mesenchymal neoplasm producing osteoid. The tumor arises from the medullary portion of the bone. It affects the long bones and most commonly, the distal femur, proximal tibia, and proximal humerus. Pain with or without a palpable mass is the most common clinical presentation. It usually has an aggressive growth and may metastasize through the hematogenous route. The lung is the most frequent site of metastasis.	ncit:C35870			
PD						Telangiectatic Osteosarcoma	An osteosarcoma usually arising from the metaphysis of long bones. It is characterized by the presence of a cystic architecture with blood-filled spaces. The prognosis is similar to that of conventional osteosarcoma.	ncit:C3902			
PD						Small Cell Osteosarcoma	An osteosarcoma usually arising from the metaphysis of long bones. It is characterized by the presence of small cells and osteoid production. The prognosis is usually unfavorable.	ncit:C4023			
