PD						Stage II	Ann Arbor Classification: Stage II: Involvement of two or more lymph node regions on the same side of the diaphragm (II); or localized involvement of a single extralymphatic organ or site in association with regional lymph node involvement with or without involvement of other lymph node regions on the same side of the diaphragm (IIE).	ncit:C8116
PD						Stage III	Ann Arbor Classification: Stage III: Involvement of lymph node regions on both sides of the diaphragm (III), which also may be accompanied by extralymphatic extension in association with adjacent lymph node involvement (IIIE) or by involvement of the spleen (IIIS) or both (IIIE,S).	ncit:C8129
PD						Stage IV	Ann Arbor Classification: Stage IV: Diffuse or disseminated involvement of one or more extralymphatic organs, with or without associated lymph node involvement; or isolated extralymphatic organ involvement in the absence of adjacent regional lymph node involvement, but in conjunction with disease in distant site(s); or any involvement of the liver or bone marrow, lungs (other than by direct extension from another site), or cerebrospinal fluid.	ncit:C8142
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	ANN_ARBOR_MOD_AB	Code	Mandatory	An indication whether A- or B-designations, based on the Ann Arbor lymphoma classification system guidelines, were used to modify staging classifications.	ncit:C181839	_undefined_	_undefined_	_undefined_
PD						Ann Arbor A Symptoms Indicator	An indication of whether a record includes A-symptom data based on the Ann Arbor lymphoma classification system guidelines.	ncit:C185483
PD						Ann Arbor B Symptoms Indicator	A indication of whether a record includes B-symptom data based on the Ann Arbor lymphoma classification system guidelines.	ncit:C177585
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	ANN_ARBOR_MOD_E	Code	Mandatory	An indication of whether a record includes data regarding extranodal involvement based on the Ann Arbor lymphoma classification system guidelines.	ncit:C177586	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	ANN_ARBOR_MOD_S	Code	Mandatory	An indication of whether a record includes data regarding splenic involvement based on the Ann Arbor lymphoma classification system guidelines.	ncit:C185484	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234


DD	Disease Attributes
TD	Lesion Characteristics
TG	One row per subject per detection method per lesion site (nodal or metastatic) per extension site
VD	AGE_AT_LESION_ASSESSMENT	Number	Mandatory	Age of subject (in days) at assessment of lesion.	ncit:C185485	_undefined_	_undefined_	_undefined_
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	COURSE	Code	Mandatory	The label for the course of systemic chemotherapy.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632
PD						Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.	ncit:C15313
PD						Chemoimmunotherapy	Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.	ncit:C94251
PD						Immunotherapy	Therapy designed to induce changes in a patient's immune status in order to treat disease.	ncit:C15262
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	LESION_ASSESSMENT_REVIEW	Code	Mandatory	The institution which has reviewed the lesion assessment.	ncit:C185324	_undefined_	_undefined_	_undefined_
PD						Institutional	Local institutional review process at treating institution.	ncit:C185325
PD						Central	Conducts reviews on behalf of all study sites that agree to participate in the centralized review process with imaging experts.	ncit:C185326
VD	LESION_DETECTION_METHOD	Code	Optional	The method used to detect the extent of the disease involvement.	ncit:C173262	_undefined_	_undefined_	_undefined_
PD						Biopsy	The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diagnosis.	ncit:C15189
PD						Staging Laparotomy	Creation of a surgical opening into the abdominal cavity.	ncit:C15266
PD						Lymphangiogram	An x-ray image of the lymphatic system using a radiopaque imaging agent.	ncit:C16805
PD						X-Ray	A radiographic procedure using the emission of x-rays to form an image of the structure penetrated by the radiation.	ncit:C38101
PD						Gallium Scan	A nuclear imaging procedure in which gallium-67 is used as the radiopharmaceutical. Gallium binds to transferrin, leukocyte lactoferrin, bacterial siderophores and inflammatory proteins and thereby can be used to localize foci of infection. It is also taken up by several tumors, thus gallium scintigraphy can be used for the staging of tumors.	ncit:C38087
PD						CT Scan	A method of examining structures within the body by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis.	ncit:C17204
PD						PET Scan	A technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue. In positron emission tomography (PET), a subject is given a dose of a positron-emitting radionuclide attached to a metabolically active substance (for example, 2-fluoro-2-deoxy-D-glucose (FDG), which is similar to a naturally occurring sugar, glucose, with the addition of a radioactive fluorine atom). When living tissue containing the positron emitter is bombarded by electrons, gamma radiation produced by collisions of electrons and positrons is detected by a scanner, revealing in fine detail the tissue location of the metabolically-active substance administered.	ncit:C17007
PD						PET-CT	An imaging technique that utilizes positron emission tomography and computed tomography in a single machine.	ncit:C103512
PD						PET-MRI	An imaging technique that utilizes positron emission tomography and magnetic resonance imaging in a single machine.	ncit:C103514
PD						Ultrasound	High frequency sound, generally with a frequency greater than 20,000 Hz.	ncit:C64384
PD						MRI	Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders.	ncit:C16809
PD						X-Ray	A radiographic procedure using the emission of x-rays to form an image of the structure penetrated by the radiation.	ncit:C38101
PD						Bone Scan	A nuclear imaging method used to evaluate pathological bone metabolism.	ncit:C17646
PD						Physical Examination	A systemic evaluation of the body and its functions using visual inspection, palpation, percussion and auscultation. The purpose is to determine the presence or absence of physical signs of disease or abnormality for an individual's health assessment.	ncit:C20989
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	LESION_CLASSIFICATION	Code	Optional	The classification of a lesion of interest.	ncit:C185489	_undefined_	_undefined_	_undefined_
PD						Primary	A term that refers to a pathologic process in its original anatomic site of growth.	ncit:C40558
PD						Metastatic	A tumor arising at a location distant to the primary lesion.	ncit:C40557
VD	LESION_SITE	Code	Mandatory	Specifies the anatomic site of a localized pathological or traumatic structural change, damage, deformity, or discontinuity of tissue, organ, or body part.	ncit:C166232	_undefined_	_undefined_	_undefined_
PD						Cervical Nodes	Any of the lymph nodes located in the neck.	ncit:C32298	Note: If there were multiple lesions, include one observation per lesion | Note: These sites only refer to primary or metastatic lesions, not to sites of extension (see below). If LESION_TYPE is primary, only chose cervical nodes - popliteal notes, bone, or unknown. If LESION_TYPE is metastatic, only choose Bone - Liver, or other
PD						Axilla or Pectoral
PD						Iliac
PD						Inguinal or Femoral
PD						Muscle
PD						Pleura
PD						Skin
PD						Thyroid
PD						Waldeyer's Ring	The ring of lymphoid tissue located in the pharynx, consisting of the pharyngeal, tubal, palatine, and lingual tonsils.	ncit:C73468
PD						Preauricular Lymph Node	A lymph node located anterior to the auricle of the ear. (NCI)	ncit:C103429
PD						Supraclavicular Lymph Node	A lymph node which is located above the clavicle.	ncit:C12903
PD						Hilar Nodes	A lymph node located in the hilar region of the spleen.	ncit:C33600
PD						Infraclavicular Lymph Node	A lymph node located in the area below the clavicle.	ncit:C63705
PD						Mediastinum	A Hodgkin lymphoma that arises from the mediastinum. It usually involves mediastinal lymph nodes and/or the thymus. Signs and symptoms include fever, weight loss, fatigue, and night sweats.	ncit:C6634
PD						Celiac Nodes	A lymph node at the base of the celiac artery.	ncit:C65166
PD						Mesenteric Nodes	A lymph node located in the mesentery.	ncit:C77641
PD						Paraaortic Lymph Node	A lymph node located adjacent to the lumbar region of the spine.	ncit:C77643
PD						Iliac Crest	The broad, dorsal, upper, and widest of the three principal bones composing either half of the pelvis.	ncit:C32765
PD						Spleen	A rare Hodgkin lymphoma that arises from the spleen.	ncit:C7295
PD						Splenic Hilar Nodes	A lymph node located in the hilar region of the spleen.	ncit:C33600
PD						Axillary Nodes	One of approximately 20-30 lymph nodes in chain formation that traverse the concavity of the underarm to the clavicle.	ncit:C12904
PD						Epitrochlear Nodes	A lymph node located above and adjacent to the elbow.	ncit:C98182
PD						Inguinal Nodes	A superficial or deep lymph node located in the inguinal area.	ncit:C32801
PD						Pectoral Nodes	An axillary lymph node located along the lower edge of the pectoralis minor.	ncit:C120322
PD						Popliteal Nodes	Lymph node located within the fat layer of the knee joint.	ncit:C53146
PD						Bone	Connective tissue that forms the skeletal components of the body.	ncit:C12366
PD						Bone Marrow	The tissue occupying the spaces of bone. It consists of blood vessel sinuses and a network of hematopoietic cells which give rise to the red cells, white cells, and megakaryocytes.	ncit:C12431
PD						Lung	One of a pair of viscera occupying the pulmonary cavities of the thorax, the organs of respiration in which aeration of the blood takes place. As a rule, the right lung is slightly larger than the left and is divided into three lobes (an upper, a middle, and a lower or basal), while the left has two lobes (an upper and a lower or basal). Each lung is irregularly conical in shape, presenting a blunt upper extremity (the apex), a concave base following the curve of the diaphragm, an outer convex surface (costal surface), an inner or mediastinal surface (mediastinal surface), a thin and sharp anterior border, and a thick and rounded posterior border.	ncit:C12468
PD						Liver	A triangular-shaped organ located under the diaphragm in the right hypochondrium. It is the largest internal organ of the body, weighting up to 2 kg. Metabolism and bile secretion are its main functions. It is composed of cells which have the ability to regenerate.	ncit:C12392
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	E_EXTENSION_SITE	Code	Mandatory	The anatomic location outside of the lymph nodes into which a disease lesion has directly spread.	ncit:C185478	_undefined_	_undefined_	_undefined_
PD						Chest Wall	The total system of structures outside the lungs that move as a part of breathing; it includes all structures from the skin to the parietal pleura.	ncit:C62484	Note: If there were multiple extension sites, include one observation per extension site. Note: Extension sites are tied to the LESION_SITE variable. If an extension site is present, but the original site from which it originated is unclear or unknown, LESION_SITE should be marked as "unknown."
PD						Heart	A hollow organ located slightly to the left of the middle portion of the chest. It is composed of muscle and it is divided by a septum into two sides: the right side which receives de-oxygenated blood from the body and the left side which sends newly oxygenated blood to the body. Each side is composed of two chambers: the atrium (receiving blood) and ventricle (ejecting blood).	ncit:C12727
PD						Lungs	One of a pair of viscera occupying the pulmonary cavities of the thorax, the organs of respiration in which aeration of the blood takes place. As a rule, the right lung is slightly larger than the left and is divided into three lobes (an upper, a middle, and a lower or basal), while the left has two lobes (an upper and a lower or basal). Each lung is irregularly conical in shape, presenting a blunt upper extremity (the apex), a concave base following the curve of the diaphragm, an outer convex surface (costal surface), an inner or mediastinal surface (mediastinal surface), a thin and sharp anterior border, and a thick and rounded posterior border.	ncit:C12468
PD						Soft Tissue	A general term comprising tissue that is not hardened or calcified; including muscle, fat, blood vessels, nerves, tendons, ligaments and fascia.	ncit:C12471
PD						Bone	Connective tissue that forms the skeletal components of the body.	ncit:C12366
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	LESION_LATERALITY	Code	Mandatory	A qualifier to identify the laterality of a lesion of interest.	ncit:C185479	_undefined_	_undefined_	_undefined_
PD						Left	A finding indicating the tumor location is on the left side of the specimen.	ncit:C160200
PD						Right	A finding indicating the tumor location is on the right side of the specimen.	ncit:C160199
PD						Bilateral
PD						Midline	A finding indicating the tumor location is on the midline of the specimen.	ncit:C162614
VD	LESION_BULKY	Code	Mandatory	A single lesion in bulky nodal disease.	ncit:C185477	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	LONGEST_DIAM_DIM1	Number	Optional	The longest possible length of a straight line passing through the center of a circular or spheroid object that connects two points on the circumference.	ncit:C96684	_undefined_	_undefined_	_undefined_
VD	DIAM_DIM1_TYPE	Code	Optional	The orientation of the diameter of the first dimension.	ncit:C185494	_undefined_	_undefined_	_undefined_
PD						Cranial-Caudal	A measure of the craniocaudal dimension of the tumor.	ncit:C182395
PD						Transverse	A measure of the transaxial dimension of the tumor.	ncit:C182199
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	LONGEST_DIAM_DIM2	Number	Optional	The longest possible length of a straight line passing through the center of a circular or spheroid object that connects two points on the circumference.	ncit:C96684	_undefined_	_undefined_	_undefined_
VD	DIAM_DIM2_TYPE	Code	Optional	The orientation of the diameter of the second dimension.	ncit:C185495	_undefined_	_undefined_	_undefined_
PD						Cranial-Caudal	A measure of the craniocaudal dimension of the tumor.	ncit:C182395
PD						Transverse	A measure of the transaxial dimension of the tumor.	ncit:C182199
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	LONGEST_DIAM_DIM3	Number	Optional	The longest possible length of a straight line passing through the center of a circular or spheroid object that connects two points on the circumference.	ncit:C96684	_undefined_	_undefined_	_undefined_
VD	DIAM_DIM3_TYPE	Code	Optional	The orientation of the diameter of the third dimension.	ncit:C185496	_undefined_	_undefined_	_undefined_
PD						Cranial-Caudal	A measure of the craniocaudal dimension of the tumor.	ncit:C182395
PD						Transverse	A measure of the transaxial dimension of the tumor.	ncit:C182199
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	PLEURAL_EFFUSION	Code	Mandatory	Increased amounts of fluid within the pleural cavity. Symptoms include shortness of breath, cough, and chest pain. It is usually caused by lung infections, congestive heart failure, pleural and lung tumors, connective tissue disorders, and trauma.	ncit:C3331	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	PERICARDIAL_EFFUSION	Code	Mandatory	Fluid collection within the pericardial sac, usually due to inflammation.	ncit:C3319	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	LESION_RESPONSE	Code	Mandatory	A qualitative or quantitative measurement of the response of a target tumor(s) to the therapy.	ncit:C94534	_undefined_	_undefined_	_undefined_
PD						Complete Response	The disappearance of all signs of cancer in response to treatment.	ncit:C4870
PD						Complete Response Unconfirmed	An indication that a finding of complete response to treatment has not been confirmed.	ncit:C165198
PD						Partial Response	A finding indicating that there is a decrease in the size and the extent of tissue involvement by a malignant tumor in a patient.	ncit:C18058
PD						Stable Disease	Cancer that is neither decreasing nor increasing in extent or severity.	ncit:C18213
PD						Progressive Disease	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.	ncit:C35571
VD	LESION_PCT_CHANGE	Number	Optional	The percentage of change in a particular lesion.	ncit:C185497	_undefined_	_undefined_	_undefined_


DD	Treatment
TD	Biopsy/Surgical Procedures
TG	One row per subject per surgery
VD	AGE_AT_PROCEDURE	Number	Optional	Age of subject (in days) at procedure.	ncit:C175008	_undefined_	_undefined_	_undefined_
VD	DISEASE_PHASE	Code	Optional	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Optional	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	COURSE	Code	Optional	The label for the course of systemic chemotherapy.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632
PD						Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.	ncit:C15313
PD						Chemoimmunotherapy	Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.	ncit:C94251
PD						Immunotherapy	Therapy designed to induce changes in a patient's immune status in order to treat disease.	ncit:C15262
VD	COURSE_NUMBER	Number	Optional	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	PROCEDURE_TYPE	Code	Optional	A categorization of surgical procedures by type or purpose.	ncit:C161601	_undefined_	_undefined_	_undefined_
PD						Biopsy	The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diagnosis.	ncit:C15189
PD						Fine Needle Aspiration	The removal of tissue or fluid with a thin needle for examination under a microscope.	ncit:C15361
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	BIOPSY_TYPE	Code	Optional	The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diagnosis.	ncit:C15189	_undefined_	_undefined_	_undefined_
PD						Core Needle Biopsy	The removal of a tissue sample using a needle with a relatively large diameter, for microscopic examination.	ncit:C15680
PD						Incisional Biopsy	A surgical procedure in which part of a lesion is removed for microscopic examination.	ncit:C15386
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	PROCEDURE_SITE	Code	Optional	The anatomical site on which surgery was performed.	ncit:C164323	_undefined_	_undefined_	_undefined_
PD						Cervical Nodes	Any of the lymph nodes located in the neck.	ncit:C32298	Note: If there were surgery sites, include one observation per site
PD						Waldeyer's Ring	The ring of lymphoid tissue located in the pharynx, consisting of the pharyngeal, tubal, palatine, and lingual tonsils.	ncit:C73468
PD						Preauricular Nodes	A lymph node located anterior to the auricle of the ear.	ncit:C103429
PD						Supraclavicular Nodes	A lymph node which is located above the clavicle.	ncit:C12903
PD						Hilar Nodes	A pathologic finding about one or more characteristics of perihilar bile duct cancer, following the rules of the TNM AJCC v8 classification system as they pertain to staging of regional lymph nodes.	ncit:C134731
PD						Infraclavicular Nodes	A lymph node located in the area below the clavicle.	ncit:C63705
PD						Mediastinum	A Hodgkin lymphoma that arises from the mediastinum. It usually involves mediastinal lymph nodes and/or the thymus. Signs and symptoms include fever, weight loss, fatigue, and night sweats.	ncit:C6634
PD						Celiac Nodes	A lymph node at the base of the celiac artery.	ncit:C65166
PD						Mesenteric Nodes	A lymph node located in the mesentery.	ncit:C77641
PD						Para-Aortic Nodes	A lymph node located adjacent to the lumbar region of the spine.	ncit:C77643
PD						Iliac Crest	The broad, dorsal, upper, and widest of the three principal bones composing either half of the pelvis.	ncit:C32765
PD						Spleen	A rare Hodgkin lymphoma that arises from the spleen.	ncit:C7295
PD						Splenic Hilar Nodes	A lymph node located in the hilar region of the spleen.	ncit:C33600
PD						Axillary Nodes	One of approximately 20-30 lymph nodes in chain formation that traverse the concavity of the underarm to the clavicle.	ncit:C12904
PD						Epitrochlear	A lymph node located above and adjacent to the elbow.	ncit:C98182
PD						Inguinal	A superficial or deep lymph node located in the inguinal area.	ncit:C32801
PD						Pectoral Nodes	An axillary lymph node located along the lower edge of the pectoralis minor.	ncit:C120322
PD						Popliteal Nodes	Lymph node located within the fat layer of the knee joint.	ncit:C53146
PD						Bone	Connective tissue that forms the skeletal components of the body.	ncit:C12366
PD						Bone Marrow	The tissue occupying the spaces of bone. It consists of blood vessel sinuses and a network of hematopoietic cells which give rise to the red cells, white cells, and megakaryocytes.	ncit:C12431
PD						Lung	One of a pair of viscera occupying the pulmonary cavities of the thorax, the organs of respiration in which aeration of the blood takes place. As a rule, the right lung is slightly larger than the left and is divided into three lobes (an upper, a middle, and a lower or basal), while the left has two lobes (an upper and a lower or basal). Each lung is irregularly conical in shape, presenting a blunt upper extremity (the apex), a concave base following the curve of the diaphragm, an outer convex surface (costal surface), an inner or mediastinal surface (mediastinal surface), a thin and sharp anterior border, and a thick and rounded posterior border.	ncit:C12468
PD						Liver	A triangular-shaped organ located under the diaphragm in the right hypochondrium. It is the largest internal organ of the body, weighting up to 2 kg. Metabolism and bile secretion are its main functions. It is composed of cells which have the ability to regenerate.	ncit:C12392
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	NUMBER_NODES	Code	Optional	A question whether an individual has a single or multiple lymph nodes involved.	ncit:C185516	_undefined_	_undefined_	_undefined_
PD						Single Lymph Node	One lymph node affected.	ncit:C185518
PD						Multiple Lymph Nodes	More than one lymph node affected.	ncit:C185519
VD	NUMBER_NODES_NUMERIC	Number	Optional	The number of lymph nodes that were examined.	ncit:C124446	_undefined_	_undefined_	_undefined_
VD	PROCEDURE_EXTENT	Code	Optional	The degree to which the lesion has been cut out, or resected.	ncit:C157443	_undefined_	_undefined_	_undefined_
PD						Complete Resection	Complete clearance of the tumor with histologically proved negative margins.	ncit:C175027
PD						Partial Resection	Surgical removal of a part of a lesion; some portion of the lesion is detectable on post-operative evaluation.	ncit:C131680
PD						Equivocal	A laboratory test result that indicates that a specific disease, condition, or attribute being assessed is not clearly present or absent.	ncit:C178921
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	PROCEDURE_PURPOSE	Code	Optional	The reason a procedure is performed.	ncit:C185526	_undefined_	_undefined_	_undefined_
PD						Initial Diagnostic Procedure	The first procedure to diagnose a condition.	ncit:C185527
PD						Second Look Surgery to Attempt Total Resection	A second attempt to perform a total resection.	ncit:C185528
PD						Biopsy of Distant Site for Staging	The biopsy of a site distant to the primary site to determine the stage of disease.	ncit:C185530
PD						Diagnostic Biopsy for Possible Recurrence	A biopsy to check for possible recurrence of disease.	ncit:C185534
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649


DD	Testing
TD	Vitals
TG	One row per subject per vitals sign record
VD	AGE_AT_VITALS	Number	Optional	Age of subject (in days) when vital signs were recorded.	ncit:C168845	_undefined_	_undefined_	_undefined_
VD	DISEASE_PHASE	Code	Optional	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Optional	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	COURSE	Code	Optional	The label for the course of systemic chemotherapy.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632
PD						Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.	ncit:C15313
PD						Chemoimmunotherapy	Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.	ncit:C94251
PD						Immunotherapy	Therapy designed to induce changes in a patient's immune status in order to treat disease.	ncit:C15262
VD	COURSE_NUMBER	Number	Optional	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	VITALS_TEST	Code	Optional	The act of assessing an individual's current temperature, heart rate, respiratory rate, pulse oxygenation, and blood pressure.	ncit:C49672	_undefined_	_undefined_	_undefined_
PD						Weight	The weight of a subject.	ncit:C81328
PD						Height	The vertical measurement or distance from the base to the top of a subject or participant.	ncit:C164634
PD						BSA	A measure of the 2-dimensional extent of the body surface (i.e., the skin). Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight. BSA is often an important factor in dosing.	ncit:C25157
VD	VITALS_RESULT	String	Optional	The outcome of the vital signs assessment.	ncit:C83108	_undefined_	_undefined_	_undefined_
VD	VITALS_RESULT_NUMERIC	Number	Optional	The numeric values of the vital signs.	ncit:C173268	_undefined_	_undefined_	_undefined_
VD	VITALS_RESULT_UNIT	Code	Optional	The unit of measure for the original vital signs test result.	ncit:C83161	_undefined_	_undefined_	_undefined_
PD						kg	A basic SI unit of mass. It is defined as the mass of an international prototype in the form of a platinum-iridium cylinder kept at Sevres in France. A kilogram is equal to 1,000 grams and 2.204 622 6 pounds.	ncit:C28252
PD						cm	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch	ncit:C49668
PD						m2	A SI unit of area measurement equal to a square whose sides are one meter long. Square meter is equal to 10,000 square centimeters; 0.01 are; 1.196 square yards; 10.76 square feet; 1550 square inches.	ncit:C42569


DD	Testing
TD	Labs
TG	One row per subject per lab test
VD	AGE_AT_LAB	Number	Mandatory	Age of subject (in days) when the laboratory test was performed.	ncit:C172691	_undefined_	_undefined_	_undefined_
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	COURSE	Code	Mandatory	The label for the course of systemic chemotherapy.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632
PD						Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.	ncit:C15313
PD						Chemoimmunotherapy	Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.	ncit:C94251
PD						Immunotherapy	Therapy designed to induce changes in a patient's immune status in order to treat disease.	ncit:C15262
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	LAB_CATEGORY	Code	Mandatory	A classification of the laboratory test.	ncit:C83017	_undefined_	_undefined_	_undefined_
PD						Peripheral Blood Analysis	A laboratory analysis of a sample of peripheral blood.	ncit:C173271
PD						Bone Marrow Analysis	A laboratory analysis of a sample of bone marrow.	ncit:C173273
VD	LAB_TEST	Code	Mandatory	A character or string that represents the full name of the laboratory assessment.	ncit:C117142	_undefined_	_undefined_	_undefined_
PD						Albumin	A quantitative measurement of albumin present in a sample.	ncit:C64431
PD						Alkaline Phophatase	A quantitative measurement of alkaline phosphatase present in a sample.	ncit:C64432
PD						CD34	The determination of the amount of CD34 expressing cells present in a sample.	ncit:C102260
