INFO	Title	Neuroblastoma (NBL) Data Dictionary																														
INFO	Name	nbl_v1.2																														
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/nbl/nbl_v1.2																														
INFO	Parent Data Model	pcdc_v1.8																														
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)																														
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/																														
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/																														
INFO	Description	The NBL data dictionary is a consensus data schema built by an international group of pediatric neuroblastoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the International Neuroblastoma Risk Group (INRG). It is based on the collective requirements of its contributors.																														
INFO	Total Variables	75																														
																																
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	Implementation Notes	Mappings																						
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker--an individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re-identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	C168949	_undefined_	_undefined_	_undefined_		New VD																						
VD	AGE_AT_RESPONSE	Number		Age of subject (in days) when the response assessment was made.	C168856	_undefined_	_undefined_	_undefined_		New VD																						
VD	DISEASE_PHASE	Code		The phase of the cancer treatment process during which relevant observations were recorded. This variable is used across domains to frame the timing of these longitudinal observations and reduce the number of redundant variables needed to report similar concepts (see "Disease Phase Timing and Course Table" in the documentation for additional guidance).	C168878	_undefined_	_undefined_	_undefined_		New VD																						
PD						Refractory	Not responding to treatment.	C38014		New PD																						
PD						Relapse/Progression	Either the return of the disease or the progression of the disease.	C174991		New PD																						
VD	DISEASE_PHASE_NUMBER	Number		The number of the disease phase.	C173258	_undefined_	_undefined_	_undefined_		New VD																						
VD	CYCLE_NUMBER	Number		Cycle Number	C166208	_undefined_	_undefined_	_undefined_		New VD																						
VD	RESPONSE_CATEGORY	Code		The category used to assess the response to therapy.	C173306	_undefined_	_undefined_	_undefined_		New VD																						
PD						Overall Response	An assessment of the overall response of the disease to the therapy.	C96613		New PD																						
PD						Primary Site Response	The response at a primary site of a disease or condition to treatment.			New PD																						
PD						Bone Marrow Response	The response of the bone marrow to the treatment.	C173307		New PD																						
PD						Metastatic Soft Tissue and Bone Response	The evaluation of how metastatic (spreading) cancer affects and responds to treatment in soft tissues and bones. Metastatic cancer cells originate from the primary tumor and spread to other parts of the body, including soft tissues (like muscles, fat, and connective tissues) and bones. The response can be assessed through imaging studies, biopsies, and other diagnostic tests to determine changes in tumor size, density, and metabolic activity in these areas, which helps guide treatment decisions and prognosis.			New PD																						
VD	RESPONSE	Code		A standard way to measure how well a cancer patient responds to treatment.	C50995	_undefined_	_undefined_	_undefined_		New VD																						
PD						RECIST, Complete Response				New PD																						
PD						RECIST, Partial Response				New PD																						
PD						RECIST, Stable Disease				New PD																						
PD						RECIST, Progressive Disease				New PD																						
PD						INRC Park 2017, Complete Response				New PD																						
PD						INRC Park 2017, Partial Response				New PD																						
PD						INRC Park 2017, Stable Disease				New PD																						
PD						INRC Park 2017, Minor Response				New PD																						
PD						INRC Park 2017, Minimal Disease				New PD																						
PD						INRC Park 2017, Progressive Disease				New PD																						
PD						Not Evaluable				New PD																						
PD						Not Done	Indicates a task, process or examination that has either not been initiated or not been completed.	C49484		New PD																						
PD						Unknown	Reported as unknown by the data contributor.	C17998		New PD																						
PD						Not Involved	The indicated response category was not involved in the response assessment.			New PD																						
VD	MIBG_SCORE_TYPE	Code		The type of response score provided in RESPONSE_MEASUREMENT_NUMERIC		_undefined_	_undefined_	_undefined_		New VD																						
PD						MIBG SIOPEN Score	The semi-quantitative SIOPEN score evaluates skeletal meta-iodobenzylguanidine (mIBG) uptake on a 0–6 scale in 12 anatomical regions.			New PD																						
VD	MIBG_SCORE	Number		The numeric response of the MIBG score.		_undefined_	_undefined_	_undefined_		New VD																						
