INFO	Title	PCDC Data Model										
INFO	Name	pcdc_v2.0										
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/pcdc/pcdc_v2.0										
INFO	Used By	aml_v2.0, gct_v2.0, hl_v2.0, nbl_v2.0, nrsts_v2.0, rms_v2.0										
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)										
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/										
INFO	Description	Each disease group in the PCDC network uses a disease-specific data dictionary as the target schema for their data harmonization efforts. The PCDC data model is the full collection these consensus data elements.										
INFO	Total Variables	409										
												
RowType	VariableName	DataType	Tier	VariableSource	VariableDescription	VariableCode	PermissibleValue	ValueSource	ValueDescription	ValueCode	ImplementationNotes	Mappings
PD							SCFE ELAM02:Induction + Consolidation 1 + Consolidation 2 + Consolidation 3	aml_v2.0	Patients randomized with the following course sequence: 1) Induction: 1 course of induction treatment (cytarabine and mitoxantrone), 2) Consolidation 1: Treatment (high-dose cytarabine), 3) Consolidation 2: Treatment (high-dose cytarabine), 4) Consolidation 3: Treatment (high-dose cytarabine).			
PD							SCFE ELAM02:Induction + Consolidation 1 + Consolidation 2 + Consolidation 3 + IL2 Maintenance	aml_v2.0	Patients randomized with the following course sequence: 1) Induction: 1 course of induction treatment (cytarabine and mitoxantrone), 2) Consolidation 1: Treatment (high-dose cytarabine), 3) Consolidation 2: Treatment (high-dose cytarabine), 4) Consolidation 3: Treatment (high-dose cytarabine), 5) Patients not undergoing hematopoietic stem cell transplantation, still in complete remission (CR) after the third course of consolidation treatment, were eligible for randomization to 1 year of maintenance therapy with monthly courses of IL2 or no maintenance treatment.			
PD							SCFE ELAM02:Induction + Consolidation 1 + Allo HSCT	aml_v2.0	Patients randomized with the following course sequence: 1) Induction: 1 course of induction treatment (cytarabine and mitoxantrone), 2) Consolidation 1: Treatment (high-dose cytarabine), 3) Allogeneic hematopoietic stem cell transplantation) HSCT was recommended for all patients in CR after course 2, except those with AML with t(8;21)(q22;q22), provided that an HLA-identical sibling donor was available and there was no active severe infection or organ failure) HSCT with a matched unrelated donor or unrelated cord blood was recommended for patients at high risk according to one of the following criteria: monosomy 7, 5q deletion, t(9;22)(q34;q11) or t(6;9)(p23;q34) and refractory disease after course 2.			
PD							AML-BFM 2004:ADxE- AI-haM-HAE- Standard maintenance, 12 Gy (Standard Risk arm)	aml_v2.0	Patients randomized with the following course sequence for standard risk (SR) arm group: 1) Induction I: Cytarabine, L-CNR, etoposide (ADxE), 2) Induction II: Cytarabine [0.5g/m2], idarubicin (AI), 3) Consolidation: high-dose cytarabine [3g/m2], mitoxantrone (haM), 4) Intensification: high-dose cytarabine [3g/m2], etoposide (HAE), 5) Standard maintenance, 6) CNS-RT (central nerous system [cranial] irradiation) randomized to 12 Gy.			
PD							AML-BFM 2004:ADxE- AI-haM-HAE- Standard maintenance, 18 Gy (Standard Risk arm)	aml_v2.0	Patients randomized with the following course sequence for standard risk (SR) arm group: 1) Induction I: Cytarabine, L-CNR, etoposide (ADxE), 2) Induction II: Cytarabine [0.5g/m2], idarubicin (AI), 3) Consolidation: high-dose cytarabine [3g/m2], mitoxantrone (haM), 4) Intensification: high-dose cytarabine [3g/m2], etoposide (HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 18 Gy.			
PD							AML-BFM 2004:ADxE-HAM- AI/2CDA-haM, HAE- Standard maintenance, 12 Gy (High Risk arm)	aml_v2.0	Patients randomized with the following course sequence for high risk (HR) arm group: 1) Induction I: Cytarabine, L-CNR, etoposide (ADxE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin, 2-chloro-2 deoxyadenosine (AI/2-CDA), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM, HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 12 Gy.			
PD							AML-BFM 2004:ADxE-HAM- AI/2CDA-haM, HAE- Standard maintenance, 18 Gy (High Risk arm)	aml_v2.0	Patients randomized with the following course sequence for high risk (HR) arm group: 1) Induction I: Cytarabine, L-CNR, etoposide (ADxE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin, 2-chloro-2 deoxyadenosine (AI/2-CDA), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM, HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 18 Gy.			
PD							AML-BFM 2004:ADxE-HAM- AI-haM, HAE- Standard maintenance, 12 Gy (High Risk arm)	aml_v2.0	Patients randomized with the following course sequence for high risk (HR) arm group: 1) Induction I: Cytarabine, L-CNR, etoposide (ADxE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin (AI), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 12 Gy			
PD							AML-BFM 2004:ADxE-HAM- AI-haM, HAE- Standard maintenance, 18 Gy (High Risk arm)	aml_v2.0	Patients randomized with the following course sequence for high risk (HR) arm group: 1) Induction I: Cytarabine, L-CNR, etoposide (ADxE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin (AI), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 18 Gy.			
PD							AML-BFM 2004:AIE- AI-haM-HAE- Standard maintenance, 12 Gy (Standard Risk arm)	aml_v2.0	Patients randomized with the following course sequence for standard risk (SR) arm group: 1) Induction I: Cytarabine, idarubicin, etoposide (AIE), 2) Induction II: Cytarabine [0.5g/m2], idarubicin (AI), 3) Consolidation: high-dose cytarabine [3g/m2], mitoxantrone (haM), 4) Intensification: high-dose cytarabine [3g/m2], etoposide (HAE), 5) Standard maintenance, 6) CNS-RT (central nerous system [cranial] irradiation) randomized to 12 Gy.			
PD							AML-BFM 2004:AIE- AI-haM-HAE- Standard maintenance, 18 Gy(Standard Risk arm)	aml_v2.0	Patients randomized with the following course sequence for standard risk (SR) arm group: 1) Induction I: Cytarabine, idarubicin, etoposide (AIE), 2) Induction II: Cytarabine [0.5g/m2], idarubicin (AI), 3) Consolidation: high-dose cytarabine [3g/m2], mitoxantrone (haM), 4) Intensification: high-dose cytarabine [3g/m2], etoposide (HAE), 5) Standard maintenance, 6) CNS-RT (central nerous system [cranial] irradiation) randomized to 18 Gy.			
PD							AML-BFM 2004:AIE-HAM- AI/2CDA-haM, HAE- Standard maintenance, 12 Gy (High Risk arm)	aml_v2.0	Patients randomized with the following course sequence for high risk (HR) arm group: 1) Induction I: Cytarabine, idarubicin, etoposide (AIE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin, 2-chloro-2 deoxyadenosine (AI/2-CDA), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM, HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 12 Gy.			
PD							AML-BFM 2004:AIE-HAM- AI/2CDA-haM, HAE- Standard maintenance, 18 Gy (High Risk arm)	aml_v2.0	Patients randomized with the following course sequence for high risk (HR) arm group: 1) Induction I: Cytarabine, idarubicin, etoposide (AIE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin, 2-chloro-2 deoxyadenosine (AI/2-CDA), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM, HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 18 Gy.			
PD							AML-BFM 2004:AIE-HAM- AI-haM, HAE- Standard maintenance, 12 Gy (High Risk arm)	aml_v2.0	Patients randomized with the following course sequence for high risk (HR) arm group: 1) Induction I: Cytarabine, idarubicin, etoposide (AIE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin (AI), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM, HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 12 Gy.			
PD							AML-BFM 2004:AIE-HAM- AI-haM, HAE- Standard maintenance, 18 Gy (High Risk arm)	aml_v2.0	Patients randomized with the following course sequence for high risk (HR) arm group: 1) Induction I: Cytarabine, idarubicin, etoposide (AIE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin (AI), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM, HAE), 5) Standard maintenance, 6) CNS-RT (central nervous system [cranial] irradiation) randomized to 18 Gy.			
PD							AML-BFM 2004:AIE-HAM- AI-haM, SCT	aml_v2.0	Patients randomized with the following course sequence: 1) Induction I: Cytarabine, idarubicin, etoposide (AIE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin (AI), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM), 5) Allogeneic Stem Cell Transplantation (HR patients only).			
PD							AML-BFM 2004:AIE-HAM- AI/2CDA-haM, SCT	aml_v2.0	Patients randomized with the following course sequence: 1) Induction I: Cytarabine, idarubicin, etoposide (AIE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin, 2-chloro-2 deoxyadenosine (AI/2-CDA), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM), 5) Allogeneic Stem Cell Transplantation (HR patients only).			
PD							AML-BFM 2004:ADxE-HAM- AI-haM, SCT	aml_v2.0	Patients randomized with the following course sequence: 1) Induction I: Cytarabine, L-CNR, etoposide (ADxE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin (AI), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM), 5) Allogeneic Stem Cell Transplantation (HR patients only).			
PD							AML-BFM 2004:ADxE-HAM- AI/2CDA-haM, SCT	aml_v2.0	Patients randomized with the following course sequence: 1) Induction I: Cytarabine, L-CNR, etoposide (ADxE), 2) Induction II: High-dose cytarabine [3g/m2], mitoxantrone (HAM), 3) Consolidation: Cytarabine [0.5 g/m2], idarubicin, 2-chloro-2 deoxyadenosine (AI/2-CDA), 4) Intensification: High-dose cytarabine [3 g/m2], etoposide (haM), 5) Allogeneic Stem Cell Transplantation (HR patients only).			
PD							AML BFM Registry 2012:ADxE- AI-haM-HAE- Standard Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1) Cytarabine, daunorubicin, etoposide (ADxE), 2) Cytarabine, idarubicin (AI), 3) Cytarabine, mitoxantrone (haM), 4) Cytarabine, etoposide (HAE), 5) Standard Maintenance.			
PD							AML BFM Registry 2012:ADxE-HAM- AI-haM, HAE- Standard Maintenance (Intermediate Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for intermediate risk (IR) arm group: 1) Cytarabine, daunorubicin, etoposide (ADxE), 2) Cytarabine, mitoxantrone (HAM), 3) Cytarabine, idarubicin (AI), 4) Cytarabine, mitoxantrone (haM), 5) Cytarabine, etoposide (HAE), 6) Standard Maintenance.			
PD							AML BFM Registry 2012:ADxE-HAM- AI-haM, SCT (High Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for high risk (HR) arm group: 1) Cytarabine, daunorubicin, etoposide (ADxE), 2) Cytarabine, mitoxantrone (HAM), 3) Cytarabine, idarubicin (AI), 4) Cytarabine, mitoxantrone (haM), 5) Stem Cell Transplantation.			
PD							AML BFM 2012:CDxA- AI-haM, AI- HAE -Short Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) Cytarabine and idarubicin (AI), 3) High-dose cytarabine (1 g/m2) and mitoxantrone (haM), 4) Cytarabine and idarubicine (AI), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Short maintenance.			
PD							AML BFM 2012:CDxA- AI-haM, AI- HAE - Standard Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) Cytarabine and idarubicin (AI), 3) High-dose cytarabine (1 g/m2) and mitoxantrone (haM), 4) Cytarabine and idarubicine (AI), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Standard maintenance.			
PD							AML BFM 2012:CDxA- HAM- AI- haM-HAE -Short Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2), AI cytarabine (500  mg/m2), idarubicin (7  mg/m2)(HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Short maintenance.			
PD							AML BFM 2012:CDxA- HAM- AI- haM-HAE -Standard Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1)  2-chloro-2-deoxyadenosine (CDxA), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2), AI cytarabine (500  mg/m2), idarubicin (7  mg/m2)(HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 5) Standard maintenance.			
PD							AML BFM 2012:ADxE - AI-haM, AI- HAE -Short Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1) Cytarabine (100  mg/m2), liposomal daunorubicin (80 mg/m2), etoposide (150  mg/m2) (ADxE), 2) Cytarabine and idarubicin (AI), 3) High-dose cytarabine (1 g/m2) and mitoxantrone (haM), 4) Cytarabine and idarubicine (AI), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Short maintenance.			
PD							AML BFM 2012:ADxE - AI-haM, AI- HAE - Standard Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1) ytarabine (100  mg/m2), liposomal daunorubicin (80 mg/m2), etoposide (150  mg/m2) (ADxE), 2) Cytarabine and idarubicin (AI), 3) High-dose cytarabine (1 g/m2) and mitoxantrone (haM), 4) Cytarabine and idarubicine (AI), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Standard maintenance.			
PD							AML BFM 2012:ADxE - HAM- AI- haM-HAE -Short Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1) Cytarabine (100  mg/m2), liposomal daunorubicin (80 mg/m2), etoposide (150  mg/m2) (ADxE), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2) (HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Short maintenance.			
PD							AML BFM 2012:ADxE - HAM- AI- haM-HAE -Standard Maintenance (Standard Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) arm group: 1) Cytarabine (100  mg/m2), liposomal daunorubicin (80 mg/m2), etoposide (150  mg/m2) (ADxE), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2) (HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Standard maintenance.			
PD							AML BFM 2012:CDxA-HAM- AI-haM- HAE-Short Maintenance (Intermediate Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for intermediate risk (IR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2) (HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Short maintenance.			
PD							AML BFM 2012:CDxA-HAM- AI-haM- HAE -Standard Maintenance (Intermediate Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for intermediate risk (IR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2) (HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Standard maintenance.			
PD							AML BFM 2012:ADxE- HAM- AI-haM- HAE-Short Maintenance (Intermediate Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for intermediate risk (IR) arm group: 1) Cytarabine (100  mg/m2), daunorubicin (60  mg/m2), etoposide (150  mg/m2) (ADxE), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2) (HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Short maintenance.			
PD							AML BFM 2012:ADxE- HAM- AI-haM- HAE-Standard Maintenance (Intermediate Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for intermediate risk (IR) arm group: 1) Cytarabine (100  mg/m2), daunorubicin (60  mg/m2), etoposide (150  mg/m2) (ADxE), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2) (HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) High-dose cytarabine (3 g/m2) and etoposide (HAE), 6) Standard maintenance.			
PD							AML BFM 2012:CDxA- HAM Sorafenib, AI Sorafenib, haM Sorafenib, Short Maintenance (Intermediate Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for intermediate risk (IR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) High-dose cytarabine (1 g/m2) and mitoxantrone (HAM Sorafenib), 3) Cytarabine and idarubicine (AI Sorafenib), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM Sorafenib), 5) Short maintenance.			
PD							AML BFM 2012:CDxA- HAM Sorafenib, AI Sorafenib, haM Sorafenib, Standard Maintenance (Intermediate Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for intermediate risk (IR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) High-dose cytarabine (1 g/m2) and mitoxantrone (HAM Sorafenib), 3) Cytarabine and idarubicine (AI Sorafenib), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM Sorafenib), 5) Standard maintenance.			
PD							AML BFM 2012:CDxA- HAM Sorafenib, AI Sorafenib, haM Sorafenib, Stem Cell Transplantation (High Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for high risk (HR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) High-dose cytarabine (1 g/m2) and mitoxantrone (HAM Sorafenib), 3) Cytarabine and idarubicine (AI Sorafenib), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM Sorafenib), 5) Stem Cell Transplantation.			
PD							AML BFM 2012:CDxA-HAM, AI, haM, Stem Cell Transplantation(High Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for high risk (HR) arm group: 1) 2-chloro-2-deoxyadenosine (CDxA), 2) High-dose cytarabine (1 g/m2) and mitoxantrone (HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) Stem cell Transplantation.			
PD							AML BFM 2012:ADxE- HAM Sorafenib, AI Sorafenib, haM Sorafenib, Stem Cell Transplantation (High Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for high risk (HR) arm group: 1) Cytarabine (100  mg/m2), liposomal daunorubicin (80 mg/m2), etoposide (150  mg/m2) (ADxE), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2) (HAM Sorafenib), 3) Cytarabine and idarubicine (AI Sorafenib), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM Sorafenib), 5) Stem Cell Transplantation.			
PD							AML BFM 2012:ADxE- HAM, AI, haM, Stem Cell Transplantation (High Risk Arm)	aml_v2.0	Patients received treatment in the following course sequence for high risk (HR) arm group: 1) Cytarabine (100  mg/m2), liposomal daunorubicin (80 mg/m2), etoposide (150  mg/m2) (ADxE), 2) High-dose cytarabine (3  g/m2), mitoxantrone (10  mg/m2) (HAM), 3) Cytarabine and idarubicine (AI), 4) Intermediate-dose cytarabine (1  g/m2), mitoxantrone (10  mg/m2) (haM), 5) Stem Cell Transplantation.			
PD							SJCRH AML02:HDAC-ADE+GO-C1-C2-C3	aml_v2.0	Patients randomized with the following course sequence: 1) High-dose cytarabine (HDAC), 2) Daunomycin, cytarabine and etoposide (ADE), 3) Gemtuzumab ozogamicin (GO), 4) Consolidation I, 5) Consolidation II, 6) Consolidation III			
PD							SJCRH AML02:HDAC-ADE-C1-C2-C3	aml_v2.0	Patients randomized with the following course sequence: 1) High-dose cytarabine (HDAC), 2) Daunomycin, cytarabine and etoposide (ADE), 3) Consolidation I, 4) Consolidation II, 5) Consolidation III			
PD							SJCRH AML02:HDAC-ADE+GO-SCT	aml_v2.0	Patients randomized with the following course sequence: 1) High-dose cytarabine (HDAC), 2) Daunomycin, cytarabine and etoposide (ADE), 3) Gemtuzumab ozogamicin (GO), 4) Stem Cell Transplant (SCT)			
PD							SJCRH AML02:HDAC-ADE-SCT	aml_v2.0	Patients randomized with the following course sequence: 1) High-dose cytarabine (HDAC), 2) Daunomycin, cytarabine and etoposide (ADE), 3) Stem Cell Transplant (SCT)			
PD							SJCRH AML02:LDAC-ADE+GO-C1-C2-C3	aml_v2.0	Patients randomized with the following course sequence: 1) Low-dose cytarabine (LDAC), 2) Daunomycin, cytarabine and etoposide (ADE), 3) Gemtuzumab ozogamicin (GO), 4) Consolidation I, 5) Consolidation II, 6) Consolidation III			
PD							SJCRH AML02:LDAC-ADE-C1-C2-C3	aml_v2.0	Patients randomized with the following course sequence: 1) Low-dose cytarabine (LDAC), 2) Daunomycin, cytarabine and etoposide (ADE), 3) Consolidation I, 4) Consolidation II, 5) Consolidation III			
PD							SJCRH AML02:LDAC-ADE+GO-SCT	aml_v2.0	Patients randomized with the following course sequence: 1) Low-dose cytarabine (LDAC), 2) Daunomycin, cytarabine and etoposide (ADE), 3) Gemtuzumab ozogamicin (GO), 4) Stem Cell Transplant (SCT)			
PD							SJCRH AML02:LDAC-ADE-SCT	aml_v2.0	Patients randomized with the following course sequence: 1) Low-dose cytarabine (LDAC), 2) Daunomycin, cytarabine and etoposide (ADE), 3) Stem Cell Transplant (SCT)			
PD							PPLLSG AML-98:SR	aml_v2.0	Patients received treatment in the following course sequence for standard risk (SR) group: 1) AIE: cytarabine, idarubicin, etoposide, 2) Consolidation phase 1: 6-thioguanine, prednisone, cytarabine, vincristine, idarubicin, 3) Consolidation phase 2: 6-thioguanine, cytarabine, cyclophosphamide, CNS irradiation, 4) Maintenance: thioguanine, cytarabine, doxorubicin, 5)Thioguanine, cytarabine 			
PD							PPLLSG AML-98:HR	aml_v2.0	Patients received treatment in the following course sequence for high risk (HR) group: 1) AIE: cytarabine, idarubicin, etoposide, 2) AI: cytarabine, idarubicin, 3) AE: cytarabine, etoposide, 4) Consolidation phase 1: 6-thioguanine, prednisone, cytarabine, vincristine, idarubicin, 5) Short post-remission block: 6-thioguanine, cytarabine, cyclophosphamide, AIE: cytarabine, idarubicin, etoposide, 6) Maintenance: thioguanine, cytarabine, doxorubicin, 7) Received therapy for 1 year (about 18 months of therapy together with intensive courses).			
PD							JACLS AML99:LR	aml_v2.0	Patients received treatment in the following course sequence for low risk (LR) group: 1) Low-risk children were defined as those with t(8;21) and a WBC lower than 50,000/μL, inv(16), or an age younger than 2 years without high-risk factors) Consolidation therapy consisted of five courses and triple intrathecal therapy was given as a part of each course) Low-risk children were treated only with chemotherapy, regardless the availability of a suitable HSCT donor.			
PD							JACLS AML99:IR	aml_v2.0	Patients received treatment in the following course sequence for intermediate risk (IR) group: 1) Intermediate-risk children were those who were not in either a low-risk or high-risk group) Consolidation therapy consisted of five courses and triple intrathecal therapy was given as a part of each course) Matched related BMT was recommended for intermediate-risk children with a HLA-matched-related donor (MRD).			
PD							JACLS AML99:HR	aml_v2.0	Patients received treatment in the following course sequence for high risk (HR) group: 1) High-risk children were those with CR after consolidation course 1 or induction C or with abnormalities of monosomy 7,7 5q-7, t(16;21),8 t(9;22) (Philadelphia chromosome [Ph1])) Consolidation therapy consisted of six courses and triple intrathecal therapy was given as a part of each course) All high-risk children were allocated to Allo-HSCT in the first remission, including unrelated bone marrow transplantation (BMT).			
PD							JPLSG AML05:JACLS	aml_v2.0	Patients received treatment in the following courses sequence: 1) For Low Risk group (LR), 3 courses of intensification multi-agent combination chemotherapy, 2) For Intermediate Risk group (IR), 3 courses of intensification multi-agent combination chemotherapy, 3) For High Risk group (HR), 1 to 3 courses of intensification multi-agent combination chemotherapy followed by allogeneic hematopoietic stem cell transplantation.			
PD							TE09:BEP (Cisplatin)	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP)			
PD							TE09:CEP (Carboplatin)	gct_v2.0	Patients randomized with the following course sequence: 1): Carboplatin and etoposide (Carboplatin is only used if patients cannot tolerate cisplatin)			
PD							TE13:BEP	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP)			
PD							TE13:BEP + GCSF	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP), 2) Filograstim (GCSF)			
PD							TE13:BOP/VIP	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, vincristine, cisplatin (BOP), 2) Etoposide, ifosfamide, cisplatin and bleomycin (VIP-B)			
PD							TE13:BOP/VIP + GCSF	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, vincristine, cisplatin (BOP), 2) Etoposide, ifosfamide, cisplatin and bleomycin (VIP-B), 3) Filograstim (GCSF)			
PD							TE20:BEP 3 Cycle/3 Day	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 3 cycles over 3 days			
PD							TE20:BEP 3 Cycle/5 Day	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 3 cycles over 5 days			
PD							TE20:BEP 3 Cycle/Selected 3 Day	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 3 cycles over 3 selected days			
PD							TE20:BEP 4 Cycle/3 Day	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 4 cycles over 3 days			
PD							TE20:BEP 4 Cycle/5 Day	gct_v2.0	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 4 cycles over 5 days			
